,equity
2021-01-04,5057961.92
2021-01-05,5088861.92
2021-01-06,5069061.92
2021-01-07,5164761.92
2021-01-08,5231961.92
2021-01-11,5255961.92
2021-01-12,5243661.92
2021-01-13,5324961.92
2021-01-14,5314461.92
2021-01-15,5285961.92
2021-01-18,5306117.708
2021-01-19,5332927.574
2021-01-20,5332927.574
2021-01-21,5429582.738
2021-01-22,5386082.738
2021-01-25,5335546.322
2021-01-26,5335546.322
2021-01-27,5335546.322
2021-01-28,5335546.322
2021-01-29,5335546.322
2021-02-01,5335546.322
2021-02-02,5335546.322
2021-02-03,5335546.322
2021-02-04,5335546.322
2021-02-05,5335546.322
2021-02-17,5335546.322
2021-02-18,5336198.06
2021-02-19,5316398.06
2021-02-22,5337698.06
2021-02-23,5299154.306
2021-02-24,5265357.944
2021-02-25,5275309.82
2021-02-26,5217462.644
2021-03-02,5217462.644
2021-03-03,5217462.644
2021-03-04,5217462.644
2021-03-05,5217462.644
2021-03-08,5217462.644
2021-03-09,5217462.644
2021-03-10,5217462.644
2021-03-11,5217462.644
2021-03-12,5209415.156
2021-03-15,5202815.156
2021-03-16,5233767.332
2021-03-17,5233767.332
2021-03-18,5197219.172
2021-03-19,5181972.038
2021-03-22,5181972.038
2021-03-23,5158324.85
2021-03-24,5135278.586
2021-03-25,5135278.586
2021-03-26,5143731.032
2021-03-29,5180631.032
2021-03-30,5213031.032
2021-03-31,5183931.032
2021-04-01,5192733.524
2021-04-06,5246733.524
2021-04-07,5257833.524
2021-04-08,5306433.524
2021-04-09,5279733.524
2021-04-12,5277633.524
2021-04-13,5210328.224
2021-04-14,5217277.31
2021-04-15,5245623.386
2021-04-16,5271723.386
2021-04-19,5305623.386
2021-04-20,5319469.478
2021-04-21,5319469.478
2021-04-22,5273615.9120000005
2021-04-23,5284810.142
2021-04-26,5366710.142
2021-04-27,5379010.142
2021-04-28,5367610.142
2021-04-29,5379010.142
2021-05-03,5303156.228
2021-05-04,5303156.228
2021-05-05,5303156.228
2021-05-06,5303156.228
2021-05-07,5303156.228
2021-05-10,5303156.228
2021-05-11,5303156.228
2021-05-12,5303156.228
2021-05-13,5303156.228
2021-05-14,5303156.228
2021-05-17,5303156.228
2021-05-18,5303156.228
2021-05-19,5303156.228
2021-05-20,5303156.228
2021-05-21,5303156.228
2021-05-24,5303156.228
2021-05-25,5303156.228
2021-05-26,5326607.006
2021-05-27,5261258.612
2021-05-28,5344109.096
2021-05-31,5389109.096
2021-06-01,5424209.096
2021-06-02,5414609.096
2021-06-03,5454209.096
2021-06-04,5408150.606
2021-06-07,5347945.58
2021-06-08,5298034.334
2021-06-09,5298034.334
2021-06-10,5298034.334
2021-06-11,5320581.476
2021-06-15,5371027.148
2021-06-16,5371027.148
2021-06-17,5371027.148
2021-06-18,5362973.48
2021-06-21,5348920.244
2021-06-22,5348920.244
2021-06-23,5355566.75
2021-06-24,5374766.75
2021-06-25,5399666.75
2021-06-28,5434466.75
2021-06-29,5432666.75
2021-06-30,5488466.75
2021-07-01,5467766.75
2021-07-02,5448055.328
2021-07-05,5521555.328
2021-07-06,5515555.328
2021-07-07,5501155.328
2021-07-08,5497983.884000001
2021-07-09,5497983.884000001
2021-07-12,5504927.084
2021-07-13,5518427.084
2021-07-14,5519927.084
2021-07-15,5564327.084
2021-07-16,5522069.792
2021-07-19,5508954.932
2021-07-20,5508954.932
2021-07-21,5508954.932
2021-07-22,5508954.932
2021-07-23,5508954.932
2021-07-26,5508954.932
2021-07-27,5508954.932
2021-07-28,5508954.932
2021-07-29,5508954.932
2021-07-30,5508954.932
2021-08-02,5508954.932
2021-08-03,5508954.932
2021-08-04,5535100.034
2021-08-05,5526400.034
2021-08-06,5481235.334
2021-08-09,5481235.334
2021-08-10,5481235.334
2021-08-11,5481235.334
2021-08-12,5481235.334
2021-08-13,5481235.334
2021-08-16,5481235.334
2021-08-17,5481235.334
2021-08-18,5481235.334
2021-08-19,5481235.334
2021-08-20,5481235.334
2021-08-23,5481235.334
2021-08-24,5481235.334
2021-08-25,5481235.334
2021-08-26,5436282.470000001
2021-08-27,5488782.470000001
2021-08-30,5539482.470000001
2021-08-31,5574882.470000001
2021-09-01,5580582.470000001
2021-09-02,5532328.574
2021-09-03,5523855.968
2021-09-06,5519955.968
