,equity
2021-01-04,5000000.0
2021-01-05,5000000.0
2021-01-06,5000000.0
2021-01-07,5000000.0
2021-01-08,5000000.0
2021-01-11,5000000.0
2021-01-12,5000000.0
2021-01-13,5000000.0
2021-01-14,5000000.0
2021-01-15,5000000.0
2021-01-18,5000000.0
2021-01-19,5000000.0
2021-01-20,5000000.0
2021-01-21,5000000.0
2021-01-22,5000000.0
2021-01-25,5000000.0
2021-01-26,5000000.0
2021-01-27,5000000.0
2021-01-28,5042656.844
2021-01-29,5135056.844
2021-02-01,5049556.844
2021-02-02,5036414.426
2021-02-03,5036414.426
2021-02-04,5036414.426
2021-02-05,5036414.426
2021-02-17,5036414.426
2021-02-18,5036414.426
2021-02-19,5036414.426
2021-02-22,5036414.426
2021-02-23,5036414.426
2021-02-24,5036414.426
2021-02-25,5036414.426
2021-02-26,5036414.426
2021-03-02,5036414.426
2021-03-03,5036414.426
2021-03-04,5036414.426
2021-03-05,5065268.714
2021-03-08,5076968.714
2021-03-09,5075168.714
2021-03-10,5061723.518
2021-03-11,5061723.518
2021-03-12,5061723.518
2021-03-15,5061723.518
2021-03-16,5061723.518
2021-03-17,5061723.518
2021-03-18,5061723.518
2021-03-19,5061723.518
2021-03-22,5061723.518
2021-03-23,5061723.518
2021-03-24,5061723.518
2021-03-25,5018578.184
2021-03-26,4999131.608
2021-03-29,4999131.608
2021-03-30,4999131.608
2021-03-31,4999131.608
2021-04-01,4999131.608
2021-04-06,4999131.608
2021-04-07,4999131.608
2021-04-08,4999131.608
2021-04-09,4999131.608
2021-04-12,4999131.608
2021-04-13,4999131.608
2021-04-14,4999131.608
2021-04-15,4999131.608
2021-04-16,4999131.608
2021-04-19,4999131.608
2021-04-20,4999131.608
2021-04-21,4999131.608
2021-04-22,4999131.608
2021-04-23,4999131.608
2021-04-26,4999131.608
2021-04-27,4999131.608
2021-04-28,4999131.608
2021-04-29,4999131.608
2021-05-03,4999131.608
2021-05-04,4943423.053
2021-05-05,4984423.053
2021-05-06,4903753.523
2021-05-07,4894543.623
2021-05-10,4894543.623
2021-05-11,5022333.283
2021-05-12,5238333.283
2021-05-13,5269833.283
2021-05-14,5218333.283
2021-05-17,5251036.3719999995
2021-05-18,5029390.366
2021-05-19,5029390.366
2021-05-20,5029390.366
2021-05-21,5029390.366
2021-05-24,5029390.366
2021-05-25,5029390.366
2021-05-26,5029390.366
2021-05-27,5029390.366
2021-05-28,5029390.366
2021-05-31,5029390.366
2021-06-01,5029390.366
2021-06-02,5029390.366
2021-06-03,5029390.366
2021-06-04,5029390.366
2021-06-07,5029390.366
2021-06-08,5029390.366
2021-06-09,5029390.366
2021-06-10,5029390.366
2021-06-11,5029390.366
2021-06-15,5029390.366
2021-06-16,5029390.366
2021-06-17,5029390.366
2021-06-18,5029390.366
2021-06-21,5029390.366
2021-06-22,5031180.186
2021-06-23,4980969.046
2021-06-24,4980969.046
2021-06-25,4980969.046
2021-06-28,4980969.046
2021-06-29,4980969.046
2021-06-30,4980969.046
2021-07-01,4980969.046
2021-07-02,4980969.046
2021-07-05,4980969.046
2021-07-06,4980969.046
2021-07-07,4980969.046
2021-07-08,4980969.046
2021-07-09,4980969.046
2021-07-12,4980969.046
2021-07-13,4980969.046
2021-07-14,4980969.046
2021-07-15,4980969.046
2021-07-16,4980969.046
2021-07-19,4980969.046
2021-07-20,4999293.251
2021-07-21,4999293.251
2021-07-22,5007331.051
2021-07-23,4994694.656
2021-07-26,5013733.261
2021-07-27,5020983.261
2021-07-28,5072983.261
2021-07-29,5011522.211
2021-07-30,5011522.211
2021-08-02,5011522.211
2021-08-03,5011522.211
2021-08-04,5011522.211
2021-08-05,5011522.211
2021-08-06,5011522.211
2021-08-09,5011522.211
2021-08-10,5011522.211
2021-08-11,5023811.106
2021-08-12,5027311.106
2021-08-13,5083061.106
2021-08-16,5123561.106
2021-08-17,5161603.011
2021-08-18,5161603.011
2021-08-19,5245653.351
2021-08-20,5286453.351
2021-08-23,5143703.343
2021-08-24,5143703.343
2021-08-25,5143703.343
2021-08-26,5143703.343
2021-08-27,5143703.343
2021-08-30,5143703.343
2021-08-31,5143703.343
2021-09-01,5143703.343
2021-09-02,5143703.343
2021-09-03,5143703.343
2021-09-06,5143703.343
2021-09-07,5143703.343
2021-09-08,5143703.343
2021-09-09,5143703.343
2021-09-10,5143703.343
2021-09-13,5143703.343
2021-09-14,5143703.343
2021-09-15,5143703.343
2021-09-16,5143242.108
2021-09-17,5116280.333
2021-09-22,5198069.193
2021-09-23,5153069.193
2021-09-24,5133108.398
2021-09-27,5133108.398
2021-09-28,5126147.683
2021-09-29,5212897.683
2021-09-30,5189397.683
2021-10-01,5289397.683
2021-10-04,5329147.683
2021-10-05,5319147.683
2021-10-06,5286842.226
2021-10-07,5265893.658
2021-10-08,5265893.658
2021-10-12,5270745.048
2021-10-13,5300745.048
2021-10-14,5274645.048
2021-10-15,5240795.9459999995
2021-10-18,5240795.9459999995
2021-10-19,5240795.9459999995
2021-10-20,5240795.9459999995
2021-10-21,5240795.9459999995
2021-10-22,5240795.9459999995
2021-10-25,5240795.9459999995
2021-10-26,5240795.9459999995
2021-10-27,5240795.9459999995
2021-10-28,5240795.9459999995
2021-10-29,5240795.9459999995
2021-11-01,5240795.9459999995
2021-11-02,5240795.9459999995
2021-11-03,5240795.9459999995
2021-11-04,5240795.9459999995
2021-11-05,5240795.9459999995
2021-11-08,5240795.9459999995
2021-11-09,5240795.9459999995
2021-11-10,5240795.9459999995
2021-11-11,5240795.9459999995
2021-11-12,5240795.9459999995
2021-11-15,5240795.9459999995
2021-11-16,5240795.9459999995
2021-11-17,5240795.9459999995
2021-11-18,5240795.9459999995
2021-11-19,5240795.9459999995
2021-11-22,5240795.9459999995
2021-11-23,5240795.9459999995
2021-11-24,5218083.001
2021-11-25,5218833.001
2021-11-26,5302333.001
2021-11-29,5310833.001
2021-11-30,5268870.626
2021-12-01,5206562.042
2021-12-02,5206562.042
2021-12-03,5206562.042
2021-12-06,5206562.042
2021-12-07,5206562.042
