entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations,raw_entry,raw_exit,mfe_points,mae_points,holding_calendar_days,holding_observation_minutes,mfe_mae_exit_bar_included
2021-01-27T22:00:00.000000000,15526.0,-1,6,5000000.0,1.0,2021-02-01T18:00:00.000000000,15403.0,signal_exit,36414.426,485.574,600.0,0,15527.0,15402.0,490.0,58.0,4.833333333333333,3180,False
2021-03-04T22:00:00.000000000,15952.0,-1,6,5036414.426,1.0,2021-03-09T19:00:00.000000000,15866.0,signal_exit,25309.092,490.908,600.0,0,15953.0,15865.0,383.0,142.0,4.875,3240,False
2021-03-25T08:45:00.000000000,15889.0,-1,6,5061723.517999999,1.0,2021-03-26T08:45:00.000000000,16096.0,signal_exit,-62591.91,491.91,600.0,7,15890.0,16095.0,20.0,205.0,1.0,1133,False
2021-05-04T10:45:00.000000000,16711.0,-1,5,4999131.607999999,1.0,2021-05-06T10:45:00.000000000,17026.0,signal_exit,-79168.685,418.685,500.0,10,16712.0,17025.0,50.0,369.0,2.0,2270,False
2021-05-06T12:45:00.000000000,16880.0,-1,5,4919962.9229999995,1.0,2021-05-06T17:00:00.000000000,16980.0,signal_exit,-25419.300000000003,419.30000000000007,500.0,0,16881.0,16979.0,50.0,126.0,0.17708333333333334,180,False
2021-05-11T03:00:00.000000000,17068.0,-1,5,4894543.622999999,1.0,2021-05-14T21:00:00.000000000,15853.0,signal_exit,303335.39499999996,414.605,500.0,2,17069.0,15852.0,2042.0,12.0,3.75,4198,False
2021-05-17T10:45:00.000000000,15441.0,-1,6,5197879.017999999,1.0,2021-05-18T10:45:00.000000000,16001.0,signal_exit,-168488.652,488.65200000000004,600.0,1,15442.0,16000.0,324.0,567.0,1.0,1139,False
2021-06-22T11:45:00.000000000,17036.0,-1,5,5029390.365999999,1.0,2021-06-23T09:45:00.000000000,17228.0,signal_exit,-48421.32,421.32000000000005,500.0,2,17037.0,17227.0,108.0,194.0,0.9166666666666666,1018,False
2021-07-19T22:00:00.000000000,17617.0,-1,5,4980969.046,1.0,2021-07-20T13:35:00.000000000,17542.0,roll_blackout,18324.205,425.7950000000001,500.0,0,17618.0,17541.0,140.0,98.0,0.6493055555555556,710,False
2021-07-22T08:45:00.000000000,17440.0,-1,5,4999293.251,1.0,2021-07-22T19:00:00.000000000,17437.0,signal_exit,325.61499999999995,424.385,500.0,0,17441.0,17436.0,94.0,84.0,0.4270833333333333,540,False
2021-07-22T22:00:00.000000000,17412.0,-1,5,4999618.866,1.0,2021-07-23T03:00:00.000000000,17430.0,signal_exit,-4924.21,424.21000000000004,500.0,1,17413.0,17429.0,60.0,20.0,0.20833333333333334,299,False
2021-07-26T11:45:00.000000000,17279.0,-1,5,4994694.656,1.0,2021-07-29T11:45:00.000000000,17210.0,signal_exit,16827.555,422.445,500.0,9,17280.0,17209.0,547.0,68.0,3.0,3410,False
2021-08-11T00:00:00.000000000,17221.0,-1,5,5011522.211000001,1.0,2021-08-17T13:35:00.000000000,16619.0,roll_blackout,150080.8,419.20000000000005,500.0,55,17222.0,16618.0,617.0,76.0,6.565972222222222,5092,False
2021-08-19T08:45:00.000000000,16610.0,-1,6,5161603.011000001,1.0,2021-08-23T10:45:00.000000000,16668.0,signal_exit,-17899.668,499.668,600.0,4,16611.0,16667.0,561.0,103.0,4.083333333333333,2396,False
2021-09-16T10:45:00.000000000,17247.0,-1,5,5143703.343,1.0,2021-09-17T12:45:00.000000000,17355.0,signal_exit,-27423.010000000002,423.01000000000005,500.0,20,17248.0,17354.0,83.0,147.0,1.0833333333333333,1237,False
2021-09-18T03:00:00.000000000,17228.0,-1,5,5116280.333,1.0,2021-09-23T23:00:00.000000000,17159.0,signal_exit,16828.065000000002,421.93500000000006,500.0,14,17229.0,17158.0,478.0,18.0,5.833333333333333,2025,False
2021-09-28T10:45:00.000000000,17143.0,-1,5,5133108.398,1.0,2021-10-06T03:00:00.000000000,16493.0,signal_exit,162081.82,418.18,500.0,9,17144.0,16492.0,1037.0,36.0,7.677083333333333,6591,False
2021-10-06T10:45:00.000000000,16332.0,-1,6,5295190.218,1.0,2021-10-07T04:00:00.000000000,16428.0,signal_exit,-29296.559999999998,496.56,600.0,0,16333.0,16427.0,133.0,98.0,0.71875,960,False
2021-10-12T10:45:00.000000000,16435.0,-1,6,5265893.658000001,1.0,2021-10-14T17:00:00.000000000,16517.0,signal_exit,-25097.712,497.71200000000005,600.0,8,16436.0,16516.0,175.0,149.0,2.2604166666666665,2572,False
2021-11-24T03:00:00.000000000,17589.0,-1,5,5240795.946,1.0,2021-11-30T10:45:00.000000000,17475.0,signal_exit,28074.68,425.32,500.0,69,17590.0,17474.0,525.0,128.0,6.322916666666667,4717,False
2021-11-30T16:00:00.000000000,17279.0,-1,6,5268870.626,1.0,2021-12-01T10:45:00.000000000,17485.0,signal_exit,-62308.584,508.58399999999995,600.0,1,17280.0,17484.0,71.0,214.0,0.78125,899,False
2021-12-20T11:45:00.000000000,17585.0,-1,5,5206562.042,1.0,2021-12-21T10:45:00.000000000,17752.0,signal_exit,-42176.685000000005,426.68500000000006,500.0,5,17586.0,17751.0,91.0,187.0,0.9583333333333334,1074,False
2022-01-20T09:45:00.000000000,18143.0,-1,5,5164385.357000001,1.0,2022-02-07T10:45:00.000000000,17722.0,signal_exit,104820.675,429.32500000000005,500.0,7,18144.0,17721.0,705.0,143.0,18.041666666666668,5753,False
2022-02-22T11:45:00.000000000,17832.0,-1,5,5269206.032000001,1.0,2022-02-23T18:00:00.000000000,18076.0,signal_exit,-61429.54,429.53999999999996,500.0,0,17833.0,18075.0,27.0,260.0,1.2604166666666667,1440,False
2022-02-24T00:00:00.000000000,17997.0,-1,5,5207776.492000001,1.0,2022-02-26T04:00:00.000000000,17738.0,signal_exit,64321.325,428.675,500.0,0,17998.0,17737.0,772.0,36.0,2.1666666666666665,2520,False
2022-03-04T10:45:00.000000000,17777.0,-1,5,5272097.817,1.0,2022-03-09T19:00:00.000000000,17111.0,signal_exit,166075.56,424.44,500.0,0,17778.0,17110.0,1140.0,6.0,5.34375,3840,False
2022-03-12T04:00:00.000000000,17156.0,-1,6,5438173.377,1.0,2022-03-14T19:00:00.000000000,17290.0,signal_exit,-40706.676,506.67600000000004,600.0,0,17157.0,17289.0,47.0,193.0,2.625,600,False
2022-03-15T02:00:00.000000000,17088.0,-1,6,5397466.701,1.0,2022-03-15T13:35:00.000000000,16900.0,roll_blackout,55896.072,503.92800000000005,600.0,1,17089.0,16899.0,228.0,106.0,0.4826388888888889,469,False
2022-03-28T10:45:00.000000000,17364.0,-1,6,5453362.773,1.0,2022-03-29T18:00:00.000000000,17621.0,signal_exit,-77609.90999999999,509.91,600.0,1,17365.0,17620.0,1.0,268.0,1.3020833333333333,1499,False
2022-04-06T19:00:00.000000000,17426.0,-1,6,5375752.863,1.0,2022-04-13T10:45:00.000000000,17236.0,signal_exit,56492.028000000006,507.97200000000004,600.0,4,17427.0,17235.0,521.0,46.0,6.65625,5276,False
2022-04-15T01:00:00.000000000,17153.0,-1,6,5432244.891,1.0,2022-04-19T13:35:00.000000000,16998.0,roll_blackout,45995.094000000005,504.90600000000006,600.0,48,17154.0,16997.0,341.0,32.0,4.524305555555555,2742,False
2022-04-22T02:00:00.000000000,17008.0,-1,6,5478239.985,1.0,2022-04-28T17:00:00.000000000,16495.0,signal_exit,153398.982,501.01800000000003,600.0,0,17009.0,16494.0,849.0,6.0,6.625,5160,False
2022-04-28T23:00:00.000000000,16386.0,-1,6,5631638.967,1.0,2022-04-29T02:00:00.000000000,16552.0,signal_exit,-50297.628,497.62800000000004,600.0,0,16387.0,16551.0,25.0,165.0,0.125,180,False
2022-05-03T08:45:00.000000000,16486.0,-1,6,5581341.339000001,1.0,2022-05-03T10:45:00.000000000,16472.0,signal_exit,3702.252,497.74800000000005,600.0,0,16487.0,16471.0,38.0,83.0,0.08333333333333333,120,False
2022-05-03T18:00:00.000000000,16433.0,-1,6,5585043.591,1.0,2022-05-04T01:00:00.000000000,16461.0,signal_exit,-8897.364,497.36400000000003,600.0,0,16434.0,16460.0,61.0,57.0,0.2916666666666667,420,False
2022-05-05T00:00:00.000000000,16433.0,-1,6,5576146.227,1.0,2022-05-05T02:00:00.000000000,16541.0,signal_exit,-32897.844000000005,497.844,600.0,0,16434.0,16540.0,4.0,119.0,0.08333333333333333,120,False
2022-05-06T00:00:00.000000000,16347.0,-1,6,5543248.382999999,1.0,2022-05-13T20:00:00.000000000,15891.0,signal_exit,136306.57200000001,493.428,600.0,2,16348.0,15890.0,822.0,71.0,7.833333333333333,6598,False
2022-05-19T17:00:00.000000000,15794.0,-1,7,5679554.954999999,1.0,2022-05-20T03:00:00.000000000,16019.0,signal_exit,-79322.691,572.691,700.0,0,15795.0,16018.0,47.0,230.0,0.4166666666666667,600,False
2022-06-13T12:45:00.000000000,16035.0,-1,6,5600232.263999999,1.0,2022-06-14T13:35:00.000000000,16049.0,roll_blackout,-4692.504,492.504,600.0,0,16036.0,16048.0,227.0,41.0,1.0347222222222223,1190,False
2022-06-16T16:00:00.000000000,15244.0,-1,7,5595539.759999999,1.0,2022-06-21T11:45:00.000000000,15329.0,signal_exit,-30314.011,564.011,700.0,18,15245.0,15328.0,279.0,89.0,4.822916666666667,3221,False
2022-06-22T10:45:00.000000000,15089.0,-1,7,5565225.748999999,1.0,2022-06-24T23:00:00.000000000,15165.0,signal_exit,-27161.778,561.778,700.0,2,15090.0,15164.0,286.0,97.0,2.5104166666666665,2938,False
2022-06-29T04:00:00.000000000,15046.0,-1,7,5538063.970999999,1.0,2022-07-06T08:45:00.000000000,14214.0,signal_exit,290645.18,554.8199999999999,700.0,22,15047.0,14213.0,1087.0,67.0,7.197916666666667,5734,False
2022-07-06T10:45:00.000000000,14018.0,-1,8,5828709.151,1.0,2022-07-07T11:45:00.000000000,14283.0,signal_exit,-106626.408,626.408,800.0,0,14019.0,14282.0,187.0,276.0,1.0416666666666667,1200,False
2022-07-11T23:00:00.000000000,14174.0,-1,8,5722082.742999999,1.0,2022-07-13T10:45:00.000000000,14277.0,signal_exit,-41827.608,627.608,800.0,2,14175.0,14276.0,325.0,157.0,1.4895833333333333,1618,False
2022-08-03T15:00:00.000000000,14665.0,-1,7,5680255.134999999,1.0,2022-08-04T20:00:00.000000000,14704.0,signal_exit,-14205.583,555.583,700.0,1,14666.0,14703.0,205.0,85.0,1.2083333333333333,1439,False
2022-08-27T00:00:00.000000000,15100.0,-1,7,5666049.551999998,1.0,2022-08-31T12:45:00.000000000,15044.0,signal_exit,19038.992,561.008,700.0,3,15101.0,15043.0,380.0,0.0,4.53125,2817,False
2022-09-01T10:45:00.000000000,14730.0,-1,7,5685088.543999998,1.0,2022-09-06T17:00:00.000000000,14662.0,signal_exit,23244.256,555.744,700.0,35,14731.0,14661.0,211.0,89.0,5.260416666666667,3674,False
2022-09-06T22:00:00.000000000,14609.0,-1,7,5708332.799999998,1.0,2022-09-08T20:00:00.000000000,14529.0,signal_exit,27446.034,553.9660000000001,700.0,3,14610.0,14528.0,307.0,20.0,1.9166666666666667,2157,False
2022-09-08T22:00:00.000000000,14509.0,-1,7,5735778.833999998,1.0,2022-09-09T00:00:00.000000000,14574.0,signal_exit,-23303.581,553.5809999999999,700.0,0,14510.0,14573.0,22.0,95.0,0.08333333333333333,120,False
2022-09-14T03:00:00.000000000,14539.0,-1,7,5712475.252999998,1.0,2022-09-20T13:35:00.000000000,14552.0,roll_blackout,-5103.637,553.637,700.0,1,14540.0,14551.0,179.0,175.0,6.440972222222222,4969,False
2022-09-22T08:45:00.000000000,14224.0,-1,8,5707371.615999998,1.0,2022-10-04T00:00:00.000000000,13439.0,signal_exit,313378.696,621.3040000000001,800.0,1,14225.0,13438.0,1010.0,99.0,11.635416666666666,8819,False
2022-10-11T10:45:00.000000000,13166.0,-1,9,6020750.311999997,1.0,2022-10-14T01:00:00.000000000,13112.0,signal_exit,23613.498,686.502,900.0,3,13167.0,13111.0,501.0,20.0,2.59375,3057,False
2022-10-15T00:00:00.000000000,12959.0,-1,9,6044363.809999997,1.0,2022-10-17T22:00:00.000000000,13094.0,signal_exit,-61434.477,684.4770000000001,900.0,0,12960.0,13093.0,139.0,177.0,2.9166666666666665,1020,False
2022-10-20T08:45:00.000000000,12814.0,-1,9,5982929.332999997,1.0,2022-10-20T20:00:00.000000000,12969.0,signal_exit,-70432.047,682.047,900.0,0,12815.0,12968.0,153.0,174.0,0.46875,600,False
2022-10-21T10:45:00.000000000,12906.0,-1,9,5912497.285999997,1.0,2022-10-22T01:00:00.000000000,12943.0,signal_exit,-17332.641,682.641,900.0,0,12907.0,12942.0,164.0,43.0,0.59375,780,False
2022-10-24T16:00:00.000000000,12840.0,-1,9,5895164.644999997,1.0,2022-10-24T20:00:00.000000000,12907.0,signal_exit,-30831.723,681.7230000000001,900.0,0,12841.0,12906.0,47.0,95.0,0.16666666666666666,240,False
2022-10-24T23:00:00.000000000,12872.0,-1,9,5864332.921999997,1.0,2022-10-25T04:00:00.000000000,12896.0,signal_exit,-11481.912,681.912,900.0,0,12873.0,12895.0,45.0,45.0,0.20833333333333334,300,False
2022-10-25T10:45:00.000000000,12671.0,-1,9,5852851.009999997,1.0,2022-10-27T00:00:00.000000000,12907.0,signal_exit,-106880.202,680.202,900.0,0,12672.0,12906.0,9.0,259.0,1.5520833333333333,1860,False
2022-10-28T15:00:00.000000000,12736.0,-1,9,5745970.807999997,1.0,2022-10-29T02:00:00.000000000,12865.0,signal_exit,-58730.40900000001,680.4090000000001,900.0,0,12737.0,12864.0,6.0,143.0,0.4583333333333333,660,False
2022-12-07T20:00:00.000000000,14564.0,-1,7,5687240.398999997,1.0,2022-12-09T04:00:00.000000000,14646.0,signal_exit,-29254.47,554.47,700.0,1,14565.0,14645.0,152.0,104.0,1.3333333333333333,1619,False
2022-12-12T10:45:00.000000000,14545.0,-1,7,5657985.928999998,1.0,2022-12-13T08:45:00.000000000,14661.0,signal_exit,-41154.442,554.442,700.0,9,14546.0,14660.0,45.0,139.0,0.9166666666666666,1011,False
2022-12-13T15:00:00.000000000,14510.0,-1,7,5616831.486999997,1.0,2022-12-13T23:00:00.000000000,14744.0,signal_exit,-82454.778,554.778,700.0,0,14511.0,14743.0,6.0,266.0,0.3333333333333333,480,False
2022-12-14T03:00:00.000000000,14611.0,-1,7,5534376.708999997,1.0,2022-12-14T10:45:00.000000000,14660.0,signal_exit,-17704.897,554.897,700.0,0,14612.0,14659.0,48.0,100.0,0.3229166666666667,240,False
