entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2021-01-27T22:00:00.000000000,15526.0,-1,6,5000000.0,1.0,2021-02-01T18:00:00.000000000,15403.0,signal_exit,36414.426,485.574,600.0,0
2021-03-04T22:00:00.000000000,15952.0,-1,6,5036414.426,1.0,2021-03-09T19:00:00.000000000,15866.0,signal_exit,25309.092,490.908,600.0,0
2021-03-25T08:45:00.000000000,15889.0,-1,6,5061723.517999999,1.0,2021-03-26T08:45:00.000000000,16096.0,signal_exit,-62591.91,491.91,600.0,7
2021-05-04T10:45:00.000000000,16711.0,-1,5,4999131.607999999,1.0,2021-05-06T10:45:00.000000000,17026.0,signal_exit,-79168.685,418.685,500.0,10
2021-05-06T12:45:00.000000000,16880.0,-1,5,4919962.9229999995,1.0,2021-05-06T17:00:00.000000000,16980.0,signal_exit,-25419.300000000003,419.30000000000007,500.0,0
2021-05-11T03:00:00.000000000,17068.0,-1,5,4894543.622999999,1.0,2021-05-14T21:00:00.000000000,15853.0,signal_exit,303335.39499999996,414.605,500.0,2
2021-05-17T10:45:00.000000000,15441.0,-1,6,5197879.017999999,1.0,2021-05-18T10:45:00.000000000,16001.0,signal_exit,-168488.652,488.65200000000004,600.0,1
2021-06-22T11:45:00.000000000,17036.0,-1,5,5029390.365999999,1.0,2021-06-23T09:45:00.000000000,17228.0,signal_exit,-48421.32,421.32000000000005,500.0,2
2021-07-19T22:00:00.000000000,17617.0,-1,5,4980969.046,1.0,2021-07-20T13:35:00.000000000,17542.0,roll_blackout,18324.205,425.7950000000001,500.0,0
2021-07-22T08:45:00.000000000,17440.0,-1,5,4999293.251,1.0,2021-07-22T19:00:00.000000000,17437.0,signal_exit,325.61499999999995,424.385,500.0,0
2021-07-22T22:00:00.000000000,17412.0,-1,5,4999618.866,1.0,2021-07-23T03:00:00.000000000,17430.0,signal_exit,-4924.21,424.21000000000004,500.0,1
2021-07-26T11:45:00.000000000,17279.0,-1,5,4994694.656,1.0,2021-07-29T11:45:00.000000000,17210.0,signal_exit,16827.555,422.445,500.0,9
2021-08-11T00:00:00.000000000,17221.0,-1,5,5011522.211000001,1.0,2021-08-17T13:35:00.000000000,16619.0,roll_blackout,150080.8,419.20000000000005,500.0,55
2021-08-19T08:45:00.000000000,16610.0,-1,6,5161603.011000001,1.0,2021-08-23T10:45:00.000000000,16668.0,signal_exit,-17899.668,499.668,600.0,4
2021-09-16T10:45:00.000000000,17247.0,-1,5,5143703.343,1.0,2021-09-17T12:45:00.000000000,17355.0,signal_exit,-27423.010000000002,423.01000000000005,500.0,20
2021-09-18T03:00:00.000000000,17228.0,-1,5,5116280.333,1.0,2021-09-23T23:00:00.000000000,17159.0,signal_exit,16828.065000000002,421.93500000000006,500.0,14
2021-09-28T10:45:00.000000000,17143.0,-1,5,5133108.398,1.0,2021-10-06T03:00:00.000000000,16493.0,signal_exit,162081.82,418.18,500.0,9
