,equity
2024-01-02,4996064.333
2024-01-03,4996064.333
2024-01-04,4996064.333
2024-01-05,4996064.333
2024-01-08,4996064.333
2024-01-09,4996064.333
2024-01-10,4996064.333
2024-01-11,4996064.333
2024-01-12,4996064.333
2024-01-15,4996064.333
2024-01-16,4996064.333
2024-01-17,4996064.333
2024-01-18,4996064.333
2024-01-19,4996321.661
2024-01-22,5003271.661
2024-01-23,5005921.661
2024-01-24,5007571.661
2024-01-25,5012171.661
2024-01-26,5012371.661
2024-01-29,5018671.661
2024-01-30,5016471.661
2024-01-31,5014678.615
2024-02-01,5014678.615
2024-02-02,5017235.583
2024-02-05,5017335.583
2024-02-15,5046385.583
2024-02-16,5044735.583
2024-02-19,5046585.583
2024-02-20,5050291.837
2024-02-21,5050291.837
2024-02-22,5054848.04
2024-02-23,5056048.04
2024-02-26,5058548.04
2024-02-27,5051954.208
2024-02-29,5051954.208
2024-03-01,5051860.246
2024-03-04,5069510.246
2024-03-05,5073260.246
2024-03-06,5079260.246
2024-03-07,5089260.246
2024-03-08,5093360.246
2024-03-11,5090715.507
2024-03-12,5096020.659
2024-03-13,5094620.659
2024-03-14,5095220.659
2024-03-15,5092075.782
2024-03-18,5092075.782
2024-03-19,5088385.982
2024-03-20,5088385.982
2024-03-21,5092540.802
2024-03-22,5091440.802
2024-03-25,5090890.802
2024-03-26,5088645.615
2024-03-27,5087950.341
2024-03-28,5083364.691
2024-03-29,5085269.45
2024-04-01,5085669.45
2024-04-02,5097419.45
2024-04-03,5087528.712
2024-04-08,5087287.894
2024-04-09,5108487.894
2024-04-10,5107337.894
2024-04-11,5102437.894
2024-04-12,5100096.449
2024-04-15,5099600.703
2024-04-16,5099600.703
2024-04-17,5099600.703
2024-04-18,5099600.703
2024-04-19,5099600.703
2024-04-22,5099600.703
2024-04-23,5099600.703
2024-04-24,5099600.703
2024-04-25,5099600.703
2024-04-26,5099600.703
2024-04-29,5099600.703
2024-04-30,5093755.174
2024-05-02,5085509.925
2024-05-03,5082319.011
2024-05-06,5083973.443
2024-05-07,5086373.443
2024-05-08,5090123.443
2024-05-09,5084473.443
2024-05-10,5088782.134
2024-05-13,5092482.134
2024-05-14,5098186.136
2024-05-15,5098186.136
2024-05-16,5093339.67
2024-05-17,5091639.67
2024-05-20,5087243.421
2024-05-21,5083850.837
2024-05-22,5086854.315
2024-05-23,5087904.315
2024-05-24,5079311.378
2024-05-27,5094811.378
2024-05-28,5098761.378
2024-05-29,5088614.626
2024-05-30,5088614.626
2024-05-31,5088614.626
2024-06-03,5088067.962
2024-06-04,5075121.566
2024-06-05,5075121.566
2024-06-06,5072974.649
2024-06-07,5074074.649
2024-06-11,5069124.649
2024-06-12,5065580.964
2024-06-13,5079430.964
2024-06-14,5088830.964
2024-06-17,5087130.964
2024-06-18,5102583.177
2024-06-19,5102583.177
2024-06-20,5113735.023
2024-06-21,5105335.023
2024-06-24,5091587.087
2024-06-25,5091587.087
2024-06-26,5086439.113
2024-06-27,5080891.351
2024-06-28,5080891.351
2024-07-01,5075543.254
2024-07-02,5067395.425
2024-07-03,5079047.474
2024-07-04,5100997.474
2024-07-05,5098297.474
2024-07-08,5115447.474
2024-07-09,5113697.474
2024-07-10,5119797.474
2024-07-11,5138147.474
2024-07-12,5116848.532
2024-07-15,5117250.362
2024-07-16,5117250.362
2024-07-17,5117250.362
2024-07-18,5117250.362
2024-07-19,5117250.362
2024-07-22,5117250.362
2024-07-23,5117250.362
2024-07-26,5117250.362
2024-07-29,5117250.362
2024-07-30,5117250.362
2024-07-31,5117250.362
2024-08-01,5117250.362
2024-08-02,5117250.362
2024-08-05,5117250.362
2024-08-06,5117250.362
2024-08-07,5117250.362
2024-08-08,5117250.362
2024-08-09,5117250.362
2024-08-12,5117250.362
2024-08-13,5117250.362
2024-08-14,5117250.362
2024-08-15,5107353.325
2024-08-16,5109106.449
2024-08-19,5108659.08
2024-08-20,5111961.652
2024-08-21,5111961.652
2024-08-22,5111961.652
2024-08-23,5111961.652
2024-08-26,5110664.421
2024-08-27,5103467.358
2024-08-28,5103467.358
2024-08-29,5081972.802
2024-08-30,5081775.476
2024-09-02,5074578.296
2024-09-03,5074578.296
2024-09-04,5074578.296
2024-09-05,5074578.296
2024-09-06,5074578.296
2024-09-09,5074578.296
2024-09-10,5074578.296
2024-09-11,5074578.296
2024-09-12,5074578.296
2024-09-13,5074578.296
2024-09-16,5074578.296
2024-09-18,5074578.296
2024-09-19,5077881.289
2024-09-20,5085181.289
2024-09-23,5091081.289
2024-09-24,5098731.289
2024-09-25,5113781.289
2024-09-26,5122031.289
2024-09-27,5118381.289
2024-09-30,5112183.528
2024-10-01,5112183.528
2024-10-04,5112183.528
2024-10-07,5112183.528
2024-10-08,5112183.528
2024-10-09,5112183.528
2024-10-11,5106585.505
2024-10-14,5111385.505
2024-10-15,5123337.257
2024-10-16,5123337.257
2024-10-17,5122342.882
2024-10-18,5142392.882
2024-10-21,5137892.882
2024-10-22,5129547.357
2024-10-23,5129547.357
2024-10-24,5129547.357
2024-10-25,5129547.357
2024-10-28,5117600.502
2024-10-29,5117600.502
2024-10-30,5117600.502
2024-11-01,5117600.502
2024-11-04,5117600.502
