,equity
2024-01-02,4979321.665
2024-01-03,4979321.665
2024-01-04,4979321.665
2024-01-05,4979321.665
2024-01-08,4979321.665
2024-01-09,4979321.665
2024-01-10,4979321.665
2024-01-11,4979321.665
2024-01-12,4979321.665
2024-01-15,4979321.665
2024-01-16,4979321.665
2024-01-17,4979321.665
2024-01-18,4979321.665
2024-01-19,4980108.295
2024-01-22,5014858.295
2024-01-23,5028108.295
2024-01-24,5036358.295
2024-01-25,5059358.295
2024-01-26,5060358.295
2024-01-29,5091858.295
2024-01-30,5080858.295
2024-01-31,5071393.075
2024-02-01,5071393.075
2024-02-02,5083677.905
2024-02-05,5084177.905
2024-02-15,5229427.905
2024-02-16,5221177.905
2024-02-19,5230427.905
2024-02-20,5248459.185
2024-02-21,5248459.185
2024-02-22,5270740.19
2024-02-23,5276740.19
2024-02-26,5289240.19
2024-02-27,5255771.04
2024-02-29,5255771.04
2024-03-01,5254801.22
2024-03-04,5343051.22
2024-03-05,5361801.22
2024-03-06,5391801.22
2024-03-07,5441801.22
2024-03-08,5462301.22
2024-03-11,5448577.535
2024-03-12,5474603.285
2024-03-13,5467603.285
2024-03-14,5470603.285
2024-03-15,5454378.91
2024-03-18,5454378.91
2024-03-19,5434929.91
2024-03-20,5434929.91
2024-03-21,5455204.0
2024-03-22,5449704.0
2024-03-25,5446954.0
2024-03-26,5435228.075
2024-03-27,5431251.695
2024-03-28,5406823.455
2024-03-29,5415847.24
2024-04-01,5417847.24
2024-04-02,5476597.24
2024-04-03,5426143.55
2024-04-08,5423939.46
2024-04-09,5529939.46
2024-04-10,5524189.46
2024-04-11,5499689.46
2024-04-12,5486982.235
2024-04-15,5484003.515000001
2024-04-16,5484003.515000001
2024-04-17,5484003.515000001
2024-04-18,5484003.515000001
2024-04-19,5484003.515000001
2024-04-22,5484003.515000001
2024-04-23,5484003.515000001
2024-04-24,5484003.515000001
2024-04-25,5484003.515000001
2024-04-26,5484003.515000001
2024-04-29,5484003.515000001
2024-04-30,5454275.86
2024-05-02,5412549.625
2024-05-03,5395595.055
2024-05-06,5403367.205
2024-05-07,5415367.205
2024-05-08,5434117.205
2024-05-09,5405867.205
2024-05-10,5426410.66
2024-05-13,5444910.66
2024-05-14,5472930.68
2024-05-15,5472930.68
2024-05-16,5448198.34
2024-05-17,5439698.34
2024-05-20,5417217.105
2024-05-21,5399254.1850000005
2024-05-22,5413771.565
2024-05-23,5419021.565
2024-05-24,5373653.416
2024-05-27,5435653.416
2024-05-28,5451453.416
2024-05-29,5410466.416
2024-05-30,5410466.416
