,equity
2024-01-02,5000000.0
2024-01-03,5000037.265
2024-01-04,5000037.265
2024-01-05,5006787.265
2024-01-08,4993574.41
2024-01-09,4993574.41
2024-01-10,5014611.695
2024-01-11,4981898.755
2024-01-12,4970973.515
2024-01-15,4942798.1
2024-01-16,4952624.415
2024-01-17,4952624.415
2024-01-18,4942163.22
2024-01-19,4910201.185
2024-01-22,4910201.185
2024-01-23,4910201.185
2024-01-24,4910201.185
2024-01-25,4910201.185
2024-01-26,4910201.185
2024-01-29,4910201.185
2024-01-30,4910201.185
2024-01-31,4910201.185
2024-02-01,4910201.185
2024-02-02,4910201.185
2024-02-05,4910201.185
2024-02-15,4910201.185
2024-02-16,4910201.185
2024-02-19,4910201.185
2024-02-20,4910201.185
2024-02-21,4910201.185
2024-02-22,4910201.185
2024-02-23,4910201.185
2024-02-26,4910201.185
2024-02-27,4910201.185
2024-02-29,4910201.185
2024-03-01,4910201.185
2024-03-04,4910201.185
2024-03-05,4910201.185
2024-03-06,4910201.185
2024-03-07,4910201.185
2024-03-08,4910201.185
2024-03-11,4910201.185
2024-03-12,4910201.185
2024-03-13,4910201.185
2024-03-14,4910201.185
2024-03-15,4910201.185
2024-03-18,4910201.185
2024-03-19,4910201.185
2024-03-20,4910201.185
2024-03-21,4910201.185
2024-03-22,4910201.185
2024-03-25,4910201.185
2024-03-26,4910201.185
2024-03-27,4910201.185
2024-03-28,4910201.185
2024-03-29,4910201.185
2024-04-01,4910201.185
2024-04-02,4910201.185
2024-04-03,4910201.185
2024-04-08,4910201.185
2024-04-09,4910201.185
2024-04-10,4910201.185
2024-04-11,4910201.185
2024-04-12,4910201.185
2024-04-15,4910201.185
2024-04-16,4914441.661
2024-04-17,4914441.661
2024-04-18,4875880.345
2024-04-19,4944140.281
2024-04-22,4948540.281
2024-04-23,4917940.281
2024-04-24,4901761.2530000005
2024-04-25,4901761.2530000005
2024-04-26,4861802.229
2024-04-29,4861802.229
2024-04-30,4861802.229
2024-05-02,4861802.229
2024-05-03,4861802.229
2024-05-06,4861802.229
2024-05-07,4861802.229
2024-05-08,4861802.229
2024-05-09,4861802.229
2024-05-10,4861802.229
2024-05-13,4861802.229
2024-05-14,4861802.229
2024-05-15,4861802.229
2024-05-16,4861802.229
2024-05-17,4861802.229
2024-05-20,4861802.229
2024-05-21,4861802.229
2024-05-22,4861802.229
2024-05-23,4861802.229
2024-05-24,4861802.229
2024-05-27,4861802.229
2024-05-28,4861802.229
2024-05-29,4861802.229
2024-05-30,4861802.229
2024-05-31,4861802.229
2024-06-03,4784430.401
2024-06-04,4784430.401
2024-06-05,4748859.777
2024-06-06,4748859.777
2024-06-07,4748859.777
2024-06-11,4748859.777
2024-06-12,4748859.777
2024-06-13,4748859.777
2024-06-14,4748859.777
2024-06-17,4748859.777
2024-06-18,4748859.777
2024-06-19,4748859.777
2024-06-20,4748859.777
2024-06-21,4748859.777
2024-06-24,4748859.777
2024-06-25,4748859.777
2024-06-26,4748859.777
2024-06-27,4748859.777
2024-06-28,4748859.777
2024-07-01,4748859.777
2024-07-02,4748859.777
2024-07-03,4748859.777
2024-07-04,4748859.777
2024-07-05,4748859.777
2024-07-08,4748859.777
2024-07-09,4748859.777
2024-07-10,4748859.777
2024-07-11,4748859.777
2024-07-12,4748859.777
2024-07-15,4748859.777
2024-07-16,4748859.777
2024-07-17,4748859.777
2024-07-18,4730666.605
2024-07-19,4825466.605
2024-07-22,4931466.605
2024-07-23,4841266.605
2024-07-26,4814905.225
2024-07-29,4781705.225
2024-07-30,4784705.225
2024-07-31,4719538.941
2024-08-01,4719538.941
2024-08-02,4849550.205
2024-08-05,5281350.205
2024-08-06,5072150.205
2024-08-07,4915565.397
2024-08-08,4915565.397
2024-08-09,4915565.397
2024-08-12,4915565.397
2024-08-13,4915565.397
2024-08-14,4915565.397
2024-08-15,4915565.397
2024-08-16,4915565.397
2024-08-19,4915565.397
2024-08-20,4915565.397
2024-08-21,4915565.397
2024-08-22,4915565.397
2024-08-23,4915565.397
2024-08-26,4915565.397
2024-08-27,4915565.397
2024-08-28,4915565.397
2024-08-29,4900176.997
2024-08-30,4875587.805
2024-09-02,4862599.153
2024-09-03,4893999.153
2024-09-04,5118599.153
2024-09-05,5071399.153
2024-09-06,5044199.153
2024-09-09,5093399.153
2024-09-10,5082029.273
2024-09-11,5060260.449
2024-09-12,5032475.877
2024-09-13,5032475.877
2024-09-16,5032475.877
2024-09-18,5032475.877
2024-09-19,5032475.877
2024-09-20,5032475.877
2024-09-23,5032475.877
2024-09-24,5032475.877
2024-09-25,5032475.877
2024-09-26,5032475.877
2024-09-27,5032475.877
2024-09-30,5032475.877
2024-10-01,5032475.877
2024-10-04,5032475.877
2024-10-07,5032475.877
2024-10-08,5032475.877
2024-10-09,5032475.877
2024-10-11,5032475.877
2024-10-14,5032475.877
2024-10-15,5032475.877
2024-10-16,5032475.877
2024-10-17,5032475.877
2024-10-18,5032475.877
2024-10-21,5032475.877
2024-10-22,5032475.877
2024-10-23,5032475.877
2024-10-24,5032475.877
2024-10-25,5032475.877
2024-10-28,5032475.877
2024-10-29,4990084.817
2024-10-30,5004484.817
2024-11-01,5034684.817
2024-11-04,4978109.509000001
2024-11-05,4955526.097
2024-11-06,4955526.097
2024-11-07,4955526.097
2024-11-08,4955526.097
2024-11-11,4955526.097
2024-11-12,4955526.097
2024-11-13,4973534.601
2024-11-14,4993334.601
2024-11-15,4978334.601
2024-11-18,4972352.869
2024-11-19,4935561.841
2024-11-20,4935561.841
2024-11-21,4949971.257
2024-11-22,4898779.945
2024-11-25,4898779.945
2024-11-26,4898779.945
2024-11-27,4940389.721
2024-11-28,4942389.721
2024-11-29,4947189.721
2024-12-02,4907199.673
2024-12-03,4907199.673
2024-12-04,4907199.673
2024-12-05,4907199.673
2024-12-06,4907199.673
2024-12-09,4907199.673
2024-12-10,4907199.673
2024-12-11,4907199.673
2024-12-12,4907199.673
2024-12-13,4907199.673
2024-12-16,4907199.673
2024-12-17,4907199.673
2024-12-18,4907199.673
2024-12-19,4886408.689
2024-12-20,4929208.689
2024-12-23,4822016.009
2024-12-24,4822016.009
2024-12-25,4822016.009
2024-12-26,4822016.009
2024-12-27,4822016.009
2024-12-30,4822016.009
2024-12-31,4822016.009
2025-01-02,4869023.697
2025-01-03,4830631.565
2025-01-06,4825247.657
2025-01-07,4825247.657
2025-01-08,4825247.657
2025-01-09,4825247.657
2025-01-10,4821655.529
2025-01-13,4924455.529
2025-01-14,4881264.529
2025-01-15,4881264.529
2025-01-16,4881264.529
2025-01-17,4881264.529
2025-01-20,4881264.529
2025-01-21,4881264.529
2025-01-22,4881264.529
2025-02-03,4881264.529
2025-02-04,4838874.085
2025-02-05,4755681.137
2025-02-06,4755681.137
2025-02-07,4755681.137
2025-02-10,4755681.137
2025-02-11,4755681.137
2025-02-12,4755681.137
2025-02-13,4755681.137
2025-02-14,4765488.221
2025-02-17,4712894.457
2025-02-18,4712894.457
2025-02-19,4712894.457
2025-02-20,4712894.457
2025-02-21,4712894.457
2025-02-24,4712894.457
2025-02-25,4712894.457
2025-02-26,4664701.733
2025-02-27,4655725.123
2025-03-03,4751325.123
2025-03-04,4777325.123
2025-03-05,4728533.799000001
2025-03-06,4728533.799000001
2025-03-07,4747943.3270000005
2025-03-10,4762743.3270000005
2025-03-11,4845743.3270000005
2025-03-12,4796354.2190000005
2025-03-13,4796788.3270000005
2025-03-14,4788588.3270000005
2025-03-17,4754399.803
2025-03-18,4754399.803
2025-03-19,4754399.803
2025-03-20,4754399.803
2025-03-21,4754399.803
2025-03-24,4719022.079
2025-03-25,4719022.079
2025-03-26,4719022.079
2025-03-27,4755633.471
2025-03-28,4828633.471
2025-03-31,4995433.471
2025-04-01,4913033.471
2025-04-02,4885048.191000001
2025-04-07,4884577.3610000005
2025-04-08,5128827.3610000005
2025-04-09,5375327.3610000005
2025-04-10,4950357.846
2025-04-11,4950357.846
2025-04-14,4950357.846
2025-04-15,4950357.846
2025-04-16,4950357.846
2025-04-17,4950357.846
2025-04-18,4950357.846
2025-04-21,4950357.846
2025-04-22,4948388.896
2025-04-23,4771666.381
2025-04-24,4771666.381
2025-04-25,4771666.381
2025-04-28,4771666.381
2025-04-29,4771666.381
2025-04-30,4771666.381
2025-05-02,4771666.381
2025-05-05,4771666.381
2025-05-06,4771666.381
2025-05-07,4771666.381
2025-05-08,4771666.381
2025-05-09,4771666.381
2025-05-12,4771666.381
2025-05-13,4771666.381
2025-05-14,4771666.381
2025-05-15,4771666.381
2025-05-16,4771666.381
2025-05-19,4771666.381
2025-05-20,4771666.381
2025-05-21,4771666.381
2025-05-22,4771666.381
2025-05-23,4771666.381
2025-05-26,4771666.381
2025-05-27,4771666.381
2025-05-28,4738510.769
2025-05-29,4703725.069
2025-06-02,4774740.181
2025-06-03,4753740.181
2025-06-04,4726355.7530000005
2025-06-05,4726355.7530000005
2025-06-06,4726355.7530000005
2025-06-09,4726355.7530000005
2025-06-10,4726355.7530000005
2025-06-11,4726355.7530000005
2025-06-12,4726355.7530000005
2025-06-13,4726355.7530000005
2025-06-16,4726355.7530000005
2025-06-17,4726355.7530000005
2025-06-18,4726355.7530000005
2025-06-19,4726355.7530000005
2025-06-20,4726355.7530000005
2025-06-23,4726355.7530000005
2025-06-24,4726355.7530000005
2025-06-25,4726355.7530000005
2025-06-26,4726355.7530000005
2025-06-27,4726355.7530000005
2025-06-30,4726355.7530000005
2025-07-01,4726355.7530000005
2025-07-02,4726355.7530000005
2025-07-03,4726355.7530000005
2025-07-04,4726355.7530000005
2025-07-07,4726355.7530000005
2025-07-08,4726355.7530000005
2025-07-09,4726355.7530000005
2025-07-10,4726355.7530000005
2025-07-11,4726355.7530000005
2025-07-14,4726355.7530000005
2025-07-15,4726355.7530000005
2025-07-16,4726355.7530000005
2025-07-17,4726355.7530000005
2025-07-18,4726355.7530000005
2025-07-21,4726355.7530000005
2025-07-22,4726355.7530000005
2025-07-23,4726355.7530000005
2025-07-24,4726355.7530000005
2025-07-25,4726355.7530000005
2025-07-28,4726355.7530000005
2025-07-29,4726355.7530000005
2025-07-30,4726355.7530000005
2025-07-31,4726355.7530000005
2025-08-01,4726355.7530000005
2025-08-04,4709763.041
2025-08-05,4688369.5770000005
2025-08-06,4688369.5770000005
2025-08-07,4688369.5770000005
2025-08-08,4688369.5770000005
2025-08-11,4688369.5770000005
2025-08-12,4688369.5770000005
2025-08-13,4688369.5770000005
2025-08-14,4688369.5770000005
2025-08-15,4688369.5770000005
2025-08-18,4688369.5770000005
2025-08-19,4688369.5770000005
2025-08-20,4688369.5770000005
2025-08-21,4688369.5770000005
2025-08-22,4698423.123
2025-08-25,4652075.949
2025-08-26,4652075.949
2025-08-27,4652075.949
2025-08-28,4652075.949
2025-08-29,4652075.949
2025-09-01,4652075.949
2025-09-02,4657778.937
2025-09-03,4652978.937
2025-09-04,4637231.634000001
2025-09-05,4637231.634000001
2025-09-08,4637231.634000001
2025-09-09,4637231.634000001
2025-09-10,4637231.634000001
2025-09-11,4637231.634000001
2025-09-12,4637231.634000001
2025-09-15,4637231.634000001
2025-09-16,4637231.634000001
2025-09-17,4637231.634000001
2025-09-18,4637231.634000001
2025-09-19,4637231.634000001
2025-09-22,4637231.634000001
2025-09-23,4637231.634000001
2025-09-24,4637231.634000001
2025-09-25,4637231.634000001
2025-09-26,4637231.634000001
2025-09-30,4637231.634000001
2025-10-01,4637231.634000001
2025-10-02,4637231.634000001
2025-10-03,4637231.634000001
