,equity
2017-07-03,5000000.0
2017-07-04,4996479.461
2017-07-05,4996479.461
2017-07-06,4996479.461
2017-07-07,4996694.253
2017-07-10,4996344.253
2017-07-11,4990058.918
2017-07-12,4988573.55
2017-07-13,4992623.55
2017-07-14,4991773.55
2017-07-17,4993423.55
2017-07-18,4994588.09
2017-07-19,4994588.09
2017-07-20,4994588.09
2017-07-21,4994588.09
2017-07-24,4994588.09
2017-07-25,4994588.09
2017-07-26,4990302.676
2017-07-27,4990631.913
2017-07-28,4985746.562
2017-07-31,4985746.562
2017-08-01,4983411.149
2017-08-02,4983840.327
2017-08-03,4981490.327
2017-08-04,4980919.476
2017-08-07,4985419.476
2017-08-08,4985269.476
2017-08-09,4982084.013
2017-08-10,4982084.013
2017-08-11,4982048.713
2017-08-14,4985498.713
2017-08-15,4982013.413
2017-08-16,4982013.413
2017-08-17,4982013.413
2017-08-18,4979978.194
2017-08-21,4979142.919
2017-08-22,4979142.919
2017-08-23,4979142.919
2017-08-24,4979142.919
2017-08-25,4980007.45
2017-08-28,4980157.45
2017-08-29,4978171.999
2017-08-30,4978536.476
2017-08-31,4979536.476
2017-09-01,4980786.476
2017-09-04,4979586.476
2017-09-05,4979000.935
2017-09-06,4979000.935
2017-09-07,4979000.935
2017-09-08,4979000.935
2017-09-11,4979000.935
2017-09-12,4979000.935
2017-09-13,4979000.935
2017-09-14,4979000.935
2017-09-15,4979000.935
2017-09-18,4979215.304
2017-09-19,4976129.729
2017-09-20,4976129.729
2017-09-21,4976129.729
2017-09-22,4976944.279
2017-09-25,4981944.279
2017-09-26,4985394.279
2017-09-27,4982644.279
2017-09-28,4981758.943
2017-09-29,4981758.943
2017-09-30,4981758.943
2017-10-02,4981758.943
2017-10-03,4981758.943
2017-10-05,4981758.943
2017-10-06,4981223.409
2017-10-11,4986673.409
2017-10-12,4989873.409
2017-10-13,4990573.409
2017-10-16,4992873.409
2017-10-17,4990937.69
2017-10-18,4990937.69
2017-10-19,4989451.9
2017-10-20,4987216.183
2017-10-23,4985180.407
2017-10-24,4984794.678
2017-10-25,4983108.906
2017-10-26,4983023.168
2017-10-27,4980551.658
2017-10-30,4980551.658
2017-10-31,4980565.876
2017-11-01,4981865.876
2017-11-02,4980465.876
2017-11-03,4980330.097
2017-11-06,4980330.097
2017-11-07,4980330.097
2017-11-08,4978994.267
2017-11-09,4974944.267
2017-11-10,4973572.842
2017-11-13,4975322.842
2017-11-14,4975737.158
2017-11-15,4975737.158
2017-11-16,4975737.158
2017-11-17,4975737.158
2017-11-20,4975737.158
2017-11-21,4977101.398
2017-11-22,4979051.398
2017-11-23,4980501.398
2017-11-24,4980501.398
2017-11-27,4976115.629
2017-11-28,4976115.629
2017-11-29,4976115.629
2017-11-30,4976115.629
2017-12-01,4972780.091
2017-12-04,4970994.452
2017-12-05,4970994.452
2017-12-06,4978008.925
2017-12-07,4979308.925
2017-12-08,4977458.925
2017-12-11,4976723.514
2017-12-12,4976723.514
2017-12-13,4976723.514
