,equity
2017-07-03,5000000.0
2017-07-04,4968315.149
2017-07-05,4968315.149
2017-07-06,4968315.149
2017-07-07,4970248.277
2017-07-10,4967098.277
2017-07-11,4910530.262
2017-07-12,4897161.95
2017-07-13,4933611.95
2017-07-14,4925961.95
2017-07-17,4940811.95
2017-07-18,4951292.81
2017-07-19,4951292.81
2017-07-20,4951292.81
2017-07-21,4951292.81
2017-07-24,4951292.81
2017-07-25,4951292.81
2017-07-26,4912724.084
2017-07-27,4915687.217
2017-07-28,4871719.058
2017-07-31,4871719.058
2017-08-01,4850700.341
2017-08-02,4854562.943
2017-08-03,4833412.943
2017-08-04,4828275.284
2017-08-07,4868775.284
2017-08-08,4867425.284
2017-08-09,4838756.117
2017-08-10,4838756.117
2017-08-11,4838438.417
2017-08-14,4869488.417
2017-08-15,4838120.717
2017-08-16,4838120.717
2017-08-17,4838120.717
2017-08-18,4819803.746
2017-08-21,4812286.271
2017-08-22,4812286.271
2017-08-23,4812286.271
2017-08-24,4812286.271
2017-08-25,4820067.05
2017-08-28,4821417.05
2017-08-29,4803547.991
2017-08-30,4806828.284
2017-08-31,4815828.284
2017-09-01,4827078.284
2017-09-04,4816278.284
2017-09-05,4811008.415
2017-09-06,4811008.415
2017-09-07,4811008.415
2017-09-08,4811008.415
2017-09-11,4811008.415
2017-09-12,4811008.415
2017-09-13,4811008.415
2017-09-14,4811008.415
2017-09-15,4811008.415
2017-09-18,4812937.736
2017-09-19,4785167.561
2017-09-20,4785167.561
2017-09-21,4785167.561
2017-09-22,4792498.511
2017-09-25,4837498.511
2017-09-26,4868548.511
2017-09-27,4843798.511
2017-09-28,4835830.487
2017-09-29,4835830.487
2017-09-30,4835830.487
2017-10-02,4835830.487
2017-10-03,4835830.487
2017-10-05,4835830.487
2017-10-06,4831010.681
2017-10-11,4880060.681
2017-10-12,4908860.681
2017-10-13,4915160.681
2017-10-16,4935860.681
2017-10-17,4918439.21
2017-10-18,4918439.21
2017-10-19,4905067.1
2017-10-20,4884945.647
2017-10-23,4866623.663
2017-10-24,4863152.102
2017-10-25,4847980.154
2017-10-26,4847208.512
2017-10-27,4827436.432
2017-10-30,4827436.432
2017-10-31,4827550.176
2017-11-01,4837950.176
2017-11-02,4826750.176
2017-11-03,4825663.944
2017-11-06,4825663.944
2017-11-07,4825663.944
2017-11-08,4814977.3040000005
2017-11-09,4782577.3040000005
2017-11-10,4771605.904
2017-11-13,4785605.904
2017-11-14,4788920.432
2017-11-15,4788920.432
2017-11-16,4788920.432
2017-11-17,4788920.432
2017-11-20,4788920.432
2017-11-21,4799834.352
2017-11-22,4815434.352
2017-11-23,4827034.352
2017-11-24,4827034.352
2017-11-27,4791948.2
2017-11-28,4791948.2
2017-11-29,4791948.2
2017-11-30,4791948.2
2017-12-01,4761928.358
2017-12-04,4745857.607
2017-12-05,4745857.607
2017-12-06,4808987.864
2017-12-07,4820687.864
2017-12-08,4804037.864
2017-12-11,4797419.165
2017-12-12,4797419.165
2017-12-13,4797419.165
2017-12-14,4797419.165
2017-12-15,4797419.165
2017-12-18,4797419.165
2017-12-19,4797419.165
2017-12-20,4797419.165
2017-12-21,4781349.377
2017-12-22,4778779.949
2017-12-25,4778779.949
2017-12-26,4788810.998
2017-12-27,4761810.998
2017-12-28,4756541.615
2017-12-29,4759056.583
2018-01-02,4788256.583
2018-01-03,4820256.583
2018-01-04,4839456.583
2018-01-05,4847456.583
2018-01-08,4859056.583
2018-01-09,4857056.583
2018-01-10,4848369.703
2018-01-11,4848369.703
2018-01-12,4844882.631
2018-01-15,4876482.631
2018-01-16,4886194.791
2018-01-17,4886194.791
2018-01-18,4881106.263
2018-01-19,4915106.263
2018-01-22,4948306.263
2018-01-23,4949506.263
2018-01-24,4898817.471
2018-01-25,4898817.471
2018-01-26,4898817.471
2018-01-29,4898817.471
2018-01-30,4898817.471
2018-01-31,4898817.471
2018-02-01,4898817.471
2018-02-02,4898817.471
2018-02-05,4928529.447
2018-02-06,5140129.447
2018-02-07,5092929.447
2018-02-08,5092529.447
2018-02-09,5158529.447
2018-02-12,5135046.159
2018-02-21,5135046.159
2018-02-22,5135046.159
2018-02-23,5135046.159
2018-02-26,5135046.159
2018-02-27,5135046.159
