,equity
2017-07-03,5000000.0
2017-07-04,4970115.149
2017-07-05,4970115.149
2017-07-06,4970115.149
2017-07-07,4970115.149
2017-07-10,4970115.149
2017-07-11,4970115.149
2017-07-12,4957646.855
2017-07-13,4994096.855
2017-07-14,4986446.855
2017-07-17,5001296.855
2017-07-18,5012677.697
2017-07-19,5012677.697
2017-07-20,5012677.697
2017-07-21,5012677.697
2017-07-24,5012677.697
2017-07-25,5012677.697
2017-07-26,4975008.989
2017-07-27,4979772.122
2017-07-28,4936703.945
2017-07-31,4936703.945
2017-08-01,4916585.246
2017-08-02,4922247.848
2017-08-03,4901097.848
2017-08-04,4897760.189
2017-08-07,4938260.189
2017-08-08,4936910.189
2017-08-09,4909141.004
2017-08-10,4909141.004
2017-08-11,4909141.004
2017-08-14,4909141.004
2017-08-15,4909141.004
2017-08-16,4909141.004
2017-08-17,4909141.004
2017-08-18,4909141.004
2017-08-21,4909141.004
2017-08-22,4909141.004
2017-08-23,4909141.004
2017-08-24,4909141.004
2017-08-25,4917821.801
2017-08-28,4919171.801
2017-08-29,4902202.724
2017-08-30,4906383.035
2017-08-31,4915383.035
2017-09-01,4926633.035
2017-09-04,4915833.035
2017-09-05,4911463.148
2017-09-06,4911463.148
2017-09-07,4911463.148
2017-09-08,4911463.148
2017-09-11,4911463.148
2017-09-12,4911463.148
2017-09-13,4911463.148
2017-09-14,4911463.148
2017-09-15,4911463.148
2017-09-18,4914292.487
2017-09-19,4887422.294
2017-09-20,4887422.294
2017-09-21,4887422.294
2017-09-22,4887422.294
2017-09-25,4887422.294
2017-09-26,4887422.294
2017-09-27,4887422.294
2017-09-28,4887422.294
2017-09-29,4887422.294
2017-09-30,4887422.294
2017-10-02,4887422.294
2017-10-03,4887422.294
2017-10-05,4887422.294
2017-10-06,4883502.506
2017-10-11,4932552.506
2017-10-12,4961352.506
2017-10-13,4967652.506
2017-10-16,4988352.506
2017-10-17,4971831.017
2017-10-18,4971831.017
2017-10-19,4959358.925
2017-10-20,4940137.454
2017-10-23,4922715.488
2017-10-24,4920143.909
2017-10-25,4905871.979
2017-10-26,4906000.319
2017-10-27,4885556.729
2017-10-30,4885556.729
2017-10-31,4886584.709
2017-11-01,4898284.709
2017-11-02,4885684.709
2017-11-03,4885362.68
2017-11-06,4885362.68
2017-11-07,4885362.68
2017-11-08,4874240.228
2017-11-09,4837790.228
2017-11-10,4841518.64
2017-11-13,4841518.64
2017-11-14,4841518.64
2017-11-15,4841518.64
2017-11-16,4841518.64
2017-11-17,4841518.64
2017-11-20,4841518.64
2017-11-21,4854696.818
2017-11-22,4872246.818
2017-11-23,4885296.818
2017-11-24,4885296.818
2017-11-27,4846724.879
2017-11-28,4846724.879
2017-11-29,4846724.879
2017-11-30,4846724.879
2017-12-01,4846724.879
2017-12-04,4846724.879
2017-12-05,4846724.879
2017-12-06,4846724.879
2017-12-07,4846724.879
2017-12-08,4846724.879
2017-12-11,4846724.879
2017-12-12,4846724.879
2017-12-13,4846724.879
2017-12-14,4846724.879
2017-12-15,4846724.879
2017-12-18,4846724.879
2017-12-19,4846724.879
2017-12-20,4846724.879
2017-12-21,4831555.109
2017-12-22,4829885.663
2017-12-25,4829885.663
2017-12-26,4829885.663
2017-12-27,4829885.663
2017-12-28,4829885.663
2017-12-29,4833615.02
2018-01-02,4866465.02
2018-01-03,4902465.02
2018-01-04,4924065.02
2018-01-05,4933065.02
2018-01-08,4946115.02
2018-01-09,4943865.02
2018-01-10,4934992.262
2018-01-11,4934992.262
2018-01-12,4931969.324
2018-01-15,4967519.324
2018-01-16,4979345.486
2018-01-17,4979345.486
2018-01-18,4974520.91
2018-01-19,5012770.91
2018-01-22,5050120.91
2018-01-23,5051470.91
2018-01-24,4995346.001
2018-01-25,4995346.001
2018-01-26,4995346.001
2018-01-29,4995346.001
2018-01-30,4995346.001
2018-01-31,4995346.001
2018-02-01,4995346.001
2018-02-02,4995346.001
2018-02-05,4995346.001
2018-02-06,4995346.001
2018-02-07,4995346.001
2018-02-08,4995346.001
2018-02-09,4995346.001
2018-02-12,4995346.001
2018-02-21,4995346.001
2018-02-22,4995346.001
2018-02-23,4995346.001
2018-02-26,4995346.001
2018-02-27,4995346.001
2018-03-01,4995346.001
2018-03-02,4995346.001
2018-03-05,4995346.001
2018-03-06,4995346.001
2018-03-07,4958123.855
2018-03-08,5010773.855
2018-03-09,5026973.855
2018-03-12,5098523.855
2018-03-13,5132723.855
2018-03-14,5101673.855
2018-03-15,5086949.864
2018-03-16,5073250.847
2018-03-19,5073250.847
2018-03-20,5073250.847
2018-03-21,5073250.847
2018-03-22,5073250.847
2018-03-23,5073250.847
2018-03-26,5073250.847
2018-03-27,5073250.847
2018-03-28,5073250.847
2018-03-29,5073250.847
2018-03-30,5073250.847
2018-03-31,5073250.847
2018-04-02,5073250.847
2018-04-03,5073250.847
2018-04-09,5073250.847
2018-04-10,5073250.847
2018-04-11,5073250.847
2018-04-12,5073250.847
2018-04-13,5073250.847
2018-04-16,5073250.847
2018-04-17,5073250.847
2018-04-18,5073250.847
2018-04-19,5072927.126
2018-04-20,5006454.728
2018-04-23,5006454.728
2018-04-24,5006454.728
2018-04-25,5006454.728
2018-04-26,5006454.728
2018-04-27,5006454.728
2018-04-30,5006454.728
2018-05-02,5006454.728
2018-05-03,5006454.728
2018-05-04,5006454.728
2018-05-07,5006454.728
2018-05-08,5006454.728
2018-05-09,5013783.545
2018-05-10,5040333.545
2018-05-11,5084433.545
2018-05-14,5128083.545
2018-05-15,5085460.769
2018-05-16,5085460.769
2018-05-17,5085460.769
2018-05-18,5085460.769
2018-05-21,5095487.291
2018-05-22,5076137.291
2018-05-23,5051964.47
2018-05-24,5051964.47
2018-05-25,5015768.225
2018-05-28,5025344.576
2018-05-29,4998021.269
2018-05-30,4998021.269
2018-05-31,4998021.269
2018-06-01,4998021.269
2018-06-04,5065197.854
2018-06-05,5057997.854
2018-06-06,5116947.854
2018-06-07,5129097.854
2018-06-08,5088722.612
2018-06-11,5088722.612
2018-06-12,5088722.612
2018-06-13,5088722.612
2018-06-14,5088722.612
2018-06-15,5088722.612
2018-06-19,5088722.612
2018-06-20,5088722.612
2018-06-21,5088722.612
2018-06-22,5088722.612
2018-06-25,5088722.612
2018-06-26,5088722.612
2018-06-27,5088722.612
2018-06-28,5088722.612
2018-06-29,5088722.612
2018-07-02,5088722.612
2018-07-03,5088722.612
2018-07-04,5088722.612
2018-07-05,5088722.612
2018-07-06,5088722.612
2018-07-09,5088722.612
2018-07-10,5095601.375
2018-07-11,5054201.375
2018-07-12,5109551.375
2018-07-13,5158151.375
2018-07-16,5143301.375
2018-07-17,5119129.517
2018-07-18,5119129.517
2018-07-19,5091357.479
2018-07-20,5137707.479
2018-07-23,5140407.479
2018-07-24,5158857.479
2018-07-25,5156157.479
2018-07-26,5178657.479
2018-07-27,5213307.479
2018-07-30,5189907.479
2018-07-31,5188684.0370000005
2018-08-01,5206359.974
2018-08-02,5141236.847
2018-08-03,5141236.847
2018-08-06,5129212.775
2018-08-07,5121689.081
2018-08-08,5120014.613
2018-08-09,5105614.613
2018-08-10,5102140.523
2018-08-13,5102140.523
2018-08-14,5102140.523
2018-08-15,5102140.523
2018-08-16,5102140.523
2018-08-17,5102140.523
2018-08-20,5102140.523
2018-08-21,5102140.523
2018-08-22,5102140.523
2018-08-23,5102140.523
2018-08-24,5102140.523
2018-08-27,5102140.523
2018-08-28,5123867.3780000005
2018-08-29,5164367.3780000005
2018-08-30,5154917.3780000005
2018-08-31,5131643.63
2018-09-03,5131643.63
2018-09-04,5131643.63
2018-09-05,5114795.792
2018-09-06,5114795.792
2018-09-07,5114795.792
2018-09-10,5114795.792
2018-09-11,5114795.792
2018-09-12,5114795.792
2018-09-13,5114795.792
2018-09-14,5114795.792
2018-09-17,5114795.792
2018-09-18,5114795.792
2018-09-19,5114795.792
2018-09-20,5114795.792
2018-09-21,5128422.305
2018-09-25,5131572.305
2018-09-26,5127522.305
2018-09-27,5112024.746
2018-09-28,5100901.124
2018-10-01,5100901.124
2018-10-02,5044903.853
2018-10-03,5044903.853
2018-10-04,5044903.853
2018-10-05,5044903.853
2018-10-08,5044903.853
2018-10-09,5044903.853
2018-10-11,5044903.853
2018-10-12,5044903.853
2018-10-15,5044903.853
2018-10-16,5044903.853
2018-10-17,5044903.853
2018-10-18,5044903.853
2018-10-19,5044903.853
2018-10-22,5044903.853
2018-10-23,5044903.853
2018-10-24,5044903.853
2018-10-25,5044903.853
2018-10-26,5044903.853
2018-10-29,5044903.853
2018-10-30,5044903.853
2018-10-31,5044903.853
2018-11-01,5044903.853
2018-11-02,5044903.853
2018-11-05,4977707.063
2018-11-06,4977707.063
2018-11-07,4977707.063
2018-11-08,4992858.133
2018-11-09,4923010.283
2018-11-12,4923010.283
2018-11-13,4923010.283
2018-11-14,4923010.283
2018-11-15,4923010.283
2018-11-16,4883996.462
2018-11-19,4881883.451
2018-11-20,4881883.451
2018-11-21,4881883.451
2018-11-22,4881883.451
2018-11-23,4881883.451
2018-11-26,4881883.451
2018-11-27,4881883.451
2018-11-28,4900019.99
2018-11-29,4903169.99
2018-11-30,4892369.99
2018-12-03,4901640.737
2018-12-04,4865640.737
2018-12-05,4814476.376
2018-12-06,4814476.376
2018-12-07,4814476.376
2018-12-10,4814476.376
2018-12-11,4814476.376
2018-12-12,4814476.376
2018-12-13,4814476.376
2018-12-14,4814476.376
2018-12-17,4814476.376
2018-12-18,4814476.376
2018-12-19,4814476.376
2018-12-20,4814476.376
2018-12-21,4814476.376
2018-12-22,4814476.376
2018-12-24,4814476.376
2018-12-25,4814476.376
2018-12-26,4814476.376
2018-12-27,4814476.376
2018-12-28,4814476.376
2019-01-02,4814476.376
2019-01-03,4814476.376
2019-01-04,4814476.376
2019-01-07,4814476.376
2019-01-08,4814476.376
2019-01-09,4802913.779
2019-01-10,4796613.779
2019-01-11,4821813.779
2019-01-14,4785951.74
2019-01-15,4788925.448
2019-01-16,4788925.448
2019-01-17,4788925.448
2019-01-18,4788925.448
2019-01-21,4792661.735
2019-01-22,4784111.735
2019-01-23,4772998.328
2019-01-24,4772998.328
2019-01-25,4804634.255
2019-01-28,4812284.255
2019-01-29,4766520.299
2019-01-30,4766520.299
2019-02-11,4766520.299
2019-02-12,4767104.561
2019-02-13,4767104.561
2019-02-14,4765304.561
2019-02-15,4752839.084
2019-02-18,4745772.734
2019-02-19,4748606.456
2019-02-20,4748606.456
2019-02-21,4748606.456
2019-02-22,4749638.693
2019-02-25,4775738.693
2019-02-26,4769888.693
2019-02-27,4764170.606
2019-03-04,4764170.606
2019-03-05,4764170.606
