,equity
2017-07-03,5000000.0
2017-07-04,4996479.461
2017-07-05,4996479.461
2017-07-06,4996479.461
2017-07-07,4996479.461
2017-07-10,4996479.461
2017-07-11,4996479.461
2017-07-12,4994994.093
2017-07-13,4999044.093
2017-07-14,4998194.093
2017-07-17,4999844.093
2017-07-18,5001008.633
2017-07-19,5001008.633
2017-07-20,5001008.633
2017-07-21,5001008.633
2017-07-24,5001008.633
2017-07-25,5001008.633
2017-07-26,4996723.219
2017-07-27,4997052.456
2017-07-28,4992167.105
2017-07-31,4992167.105
2017-08-01,4989831.692
2017-08-02,4990260.87
2017-08-03,4987910.87
2017-08-04,4987340.019
2017-08-07,4991840.019
2017-08-08,4991690.019
2017-08-09,4988504.556
2017-08-10,4988504.556
2017-08-11,4988504.556
2017-08-14,4988504.556
2017-08-15,4988504.556
2017-08-16,4988504.556
2017-08-17,4988504.556
2017-08-18,4988504.556
2017-08-21,4988504.556
2017-08-22,4988504.556
2017-08-23,4988504.556
2017-08-24,4988504.556
2017-08-25,4989369.087
2017-08-28,4989519.087
2017-08-29,4987533.636
2017-08-30,4987898.113
2017-08-31,4988898.113
2017-09-01,4990148.113
2017-09-04,4988948.113
2017-09-05,4988362.572
2017-09-06,4988362.572
2017-09-07,4988362.572
2017-09-08,4988362.572
2017-09-11,4988362.572
2017-09-12,4988362.572
2017-09-13,4988362.572
2017-09-14,4988362.572
2017-09-15,4988362.572
2017-09-18,4988576.941
2017-09-19,4985491.366
2017-09-20,4985491.366
2017-09-21,4985491.366
2017-09-22,4985491.366
2017-09-25,4985491.366
2017-09-26,4985491.366
2017-09-27,4985491.366
2017-09-28,4985491.366
2017-09-29,4985491.366
2017-09-30,4985491.366
2017-10-02,4985491.366
2017-10-03,4985491.366
2017-10-05,4985491.366
2017-10-06,4984955.832
2017-10-11,4990405.832
2017-10-12,4993605.832
2017-10-13,4994305.832
2017-10-16,4996605.832
2017-10-17,4994670.113
2017-10-18,4994670.113
2017-10-19,4993184.323
2017-10-20,4990948.606
2017-10-23,4988912.83
2017-10-24,4988527.101
2017-10-25,4986841.329
2017-10-26,4986755.591
2017-10-27,4984284.081
2017-10-30,4984284.081
2017-10-31,4984298.299
2017-11-01,4985598.299
2017-11-02,4984198.299
2017-11-03,4984062.52
2017-11-06,4984062.52
2017-11-07,4984062.52
2017-11-08,4982726.69
2017-11-09,4978676.69
2017-11-10,4978990.96
2017-11-13,4978990.96
2017-11-14,4978990.96
2017-11-15,4978990.96
2017-11-16,4978990.96
2017-11-17,4978990.96
2017-11-20,4978990.96
2017-11-21,4980355.2
2017-11-22,4982305.2
2017-11-23,4983755.2
2017-11-24,4983755.2
2017-11-27,4979369.431
2017-11-28,4979369.431
2017-11-29,4979369.431
2017-11-30,4979369.431
2017-12-01,4979369.431
2017-12-04,4979369.431
2017-12-05,4979369.431
2017-12-06,4979369.431
2017-12-07,4979369.431
2017-12-08,4979369.431
2017-12-11,4979369.431
2017-12-12,4979369.431
2017-12-13,4979369.431
