,equity
2017-07-03,5000000.0
2017-07-04,5000000.0
2017-07-05,5000000.0
2017-07-06,5000000.0
2017-07-07,5000314.79
2017-07-10,4999964.79
2017-07-11,4993779.457
2017-07-12,4993779.457
2017-07-13,4993779.457
2017-07-14,4993779.457
2017-07-17,4993779.457
2017-07-18,4993779.457
2017-07-19,4993779.457
2017-07-20,4993779.457
2017-07-21,4993779.457
2017-07-24,4993779.457
2017-07-25,4993779.457
2017-07-26,4993779.457
2017-07-27,4993779.457
2017-07-28,4993779.457
2017-07-31,4993779.457
2017-08-01,4993779.457
2017-08-02,4993779.457
2017-08-03,4993779.457
2017-08-04,4993779.457
2017-08-07,4993779.457
2017-08-08,4993779.457
2017-08-09,4993779.457
2017-08-10,4993779.457
2017-08-11,4993844.155
2017-08-14,4997294.155
2017-08-15,4993908.857
2017-08-16,4993908.857
2017-08-17,4993908.857
2017-08-18,4991973.636
2017-08-21,4991238.363
2017-08-22,4991238.363
2017-08-23,4991238.363
2017-08-24,4991238.363
2017-08-25,4991238.363
2017-08-28,4991238.363
2017-08-29,4991238.363
2017-08-30,4991238.363
2017-08-31,4991238.363
2017-09-01,4991238.363
2017-09-04,4991238.363
2017-09-05,4991238.363
2017-09-06,4991238.363
2017-09-07,4991238.363
2017-09-08,4991238.363
2017-09-11,4991238.363
2017-09-12,4991238.363
2017-09-13,4991238.363
2017-09-14,4991238.363
2017-09-15,4991238.363
2017-09-18,4991238.363
2017-09-19,4991238.363
2017-09-20,4991238.363
2017-09-21,4991238.363
2017-09-22,4992152.911
2017-09-25,4997152.911
2017-09-26,5000602.911
2017-09-27,4997852.911
2017-09-28,4997067.577
2017-09-29,4997067.577
2017-09-30,4997067.577
2017-10-02,4997067.577
2017-10-03,4997067.577
2017-10-05,4997067.577
2017-10-06,4997067.577
2017-10-11,4997067.577
2017-10-12,4997067.577
2017-10-13,4997067.577
2017-10-16,4997067.577
2017-10-17,4997067.577
2017-10-18,4997067.577
2017-10-19,4997067.577
2017-10-20,4997067.577
2017-10-23,4997067.577
2017-10-24,4997067.577
2017-10-25,4997067.577
2017-10-26,4997067.577
2017-10-27,4997067.577
2017-10-30,4997067.577
2017-10-31,4997067.577
2017-11-01,4997067.577
2017-11-02,4997067.577
2017-11-03,4997067.577
2017-11-06,4997067.577
2017-11-07,4997067.577
2017-11-08,4997067.577
2017-11-09,4997067.577
2017-11-10,4995481.88
2017-11-13,4997231.88
2017-11-14,4997746.198
2017-11-15,4997746.198
2017-11-16,4997746.198
2017-11-17,4997746.198
2017-11-20,4997746.198
2017-11-21,4997746.198
2017-11-22,4997746.198
2017-11-23,4997746.198
2017-11-24,4997746.198
2017-11-27,4997746.198
2017-11-28,4997746.198
2017-11-29,4997746.198
2017-11-30,4997746.198
2017-12-01,4994510.658
2017-12-04,4992825.021
2017-12-05,4992825.021
2017-12-06,4999939.492
2017-12-07,5001239.492
2017-12-08,4999389.492
2017-12-11,4998754.083
2017-12-12,4998754.083
2017-12-13,4998754.083
2017-12-14,4998754.083
2017-12-15,4998754.083
2017-12-18,4998754.083
