,equity
2021-01-04,5006410.255
2021-01-05,5011560.255
2021-01-06,5008260.255
2021-01-07,5024210.255
2021-01-08,5035410.255
2021-01-11,5039410.255
2021-01-12,5037360.255
2021-01-13,5050910.255
2021-01-14,5049160.255
2021-01-15,5044410.255
2021-01-18,5047869.551
2021-01-19,5049137.794
2021-01-20,5049137.794
2021-01-21,5051596.715
2021-01-22,5044346.715
2021-01-25,5039155.834
2021-01-26,5039155.834
2021-01-27,5039155.834
2021-01-28,5044065.352
2021-01-29,5059465.352
2021-02-01,5045215.352
2021-02-02,5043024.949
2021-02-03,5043024.949
2021-02-04,5043024.949
2021-02-05,5043024.949
2021-02-17,5043024.949
2021-02-18,5043024.949
2021-02-19,5043024.949
2021-02-22,5039333.491
2021-02-23,5034542.201
2021-02-24,5034542.201
2021-02-25,5034542.201
2021-02-26,5034542.201
2021-03-02,5034542.201
2021-03-03,5034542.201
2021-03-04,5034542.201
2021-03-05,5023001.576
2021-03-08,5024951.576
2021-03-09,5024651.576
2021-03-10,5022410.71
2021-03-11,5022410.71
2021-03-12,5022410.71
2021-03-15,5022410.71
2021-03-16,5025078.153
2021-03-17,5025078.153
2021-03-18,5025078.153
2021-03-19,5025078.153
2021-03-22,5025078.153
2021-03-23,5021236.957
2021-03-24,5017495.911
2021-03-25,5010305.022
2021-03-26,5008572.669
2021-03-29,5014722.669
2021-03-30,5020122.669
2021-03-31,5015272.669
2021-04-01,5014731.257
2021-04-06,5021539.663
2021-04-07,5023389.663
2021-04-08,5031489.663
2021-04-09,5027039.663
2021-04-12,5026689.663
2021-04-13,5017255.827
2021-04-14,5018514.006
2021-04-15,5024022.046
2021-04-16,5028372.046
2021-04-19,5034022.046
2021-04-20,5036429.726
2021-04-21,5036429.726
2021-04-22,5028887.467
2021-04-23,5028145.372
2021-04-26,5040353.087
2021-04-27,5042403.087
2021-04-28,5040503.087
2021-04-29,5042403.087
2021-05-03,5029860.766
2021-05-04,5018719.055
2021-05-05,5026919.055
2021-05-06,5014027.029
2021-05-07,5014027.029
2021-05-10,5014027.029
2021-05-11,5039584.961
2021-05-12,5082784.961
2021-05-13,5089084.961
2021-05-14,5078784.961
2021-05-17,5074694.108
2021-05-18,5074694.108
2021-05-19,5074694.108
2021-05-20,5074694.108
2021-05-21,5074694.108
2021-05-24,5074694.108
2021-05-25,5074694.108
2021-05-26,5074694.108
2021-05-27,5074694.108
2021-05-28,5080152.355
2021-05-31,5087652.355
2021-06-01,5093502.355
2021-06-02,5091902.355
2021-06-03,5098502.355
2021-06-04,5093060.233
2021-06-07,5080976.017
2021-06-08,5080976.017
2021-06-09,5080976.017
2021-06-10,5080976.017
2021-06-11,5082883.837
2021-06-15,5091391.447
2021-06-16,5091391.447
2021-06-17,5091391.447
2021-06-18,5088649.141
2021-06-21,5086406.933
2021-06-22,5086406.933
2021-06-23,5087614.686
2021-06-24,5090814.686
2021-06-25,5094964.686
2021-06-28,5100764.686
2021-06-29,5100464.686
2021-06-30,5109764.686
2021-07-01,5106314.686
2021-07-02,5103222.101
2021-07-05,5111329.366
2021-07-06,5110329.366
2021-07-07,5107929.366
2021-07-08,5108486.524
2021-07-09,5108486.524
2021-07-12,5109743.726
2021-07-13,5111993.726
2021-07-14,5112243.726
2021-07-15,5119643.726
2021-07-16,5112700.842
2021-07-19,5112700.842
2021-07-20,5116365.683
2021-07-21,5116365.683
2021-07-22,5116365.683
2021-07-23,5116365.683
2021-07-26,5120173.404
2021-07-27,5121623.404
2021-07-28,5132023.404
2021-07-29,5119731.194
2021-07-30,5119731.194
2021-08-02,5119731.194
2021-08-03,5119731.194
2021-08-04,5123038.69
2021-08-05,5121588.69
2021-08-06,5118696.205
2021-08-09,5118696.205
2021-08-10,5118696.205
2021-08-11,5118696.205
2021-08-12,5118696.205
2021-08-13,5123504.174
2021-08-16,5131604.174
2021-08-17,5139212.555
2021-08-18,5139212.555
2021-08-19,5139212.555
2021-08-20,5137221.401
2021-08-23,5113429.733
2021-08-24,5113429.733
2021-08-25,5113429.733
2021-08-26,5106037.591
2021-08-27,5114787.591
2021-08-30,5123237.591
2021-08-31,5129137.591
2021-09-01,5130087.591
2021-09-02,5122145.273
2021-09-03,5122145.273
2021-09-06,5122145.273
2021-09-07,5122145.273
2021-09-08,5122145.273
2021-09-09,5122145.273
2021-09-10,5122145.273
2021-09-13,5122145.273
2021-09-14,5117360.283
2021-09-15,5117360.283
2021-09-16,5115318.075
2021-09-17,5109925.72
2021-09-22,5108433.849
2021-09-23,5099433.849
2021-09-24,5095441.69
2021-09-27,5095441.69
2021-09-28,5095441.69
2021-09-29,5102899.717
2021-09-30,5098199.717
2021-10-01,5118199.717
2021-10-04,5126149.717
2021-10-05,5124149.717
2021-10-06,5119358.224
2021-10-07,5109875.556
2021-10-08,5109875.556
2021-10-12,5109875.556
2021-10-13,5109875.556
2021-10-14,5105334.241
2021-10-15,5099692.724
2021-10-18,5099692.724
2021-10-19,5100558.931
2021-10-20,5100558.931
2021-10-21,5091966.947
2021-10-22,5091725.138
2021-10-25,5091725.138
2021-10-26,5090983.076
2021-10-27,5092133.076
