,equity
2021-01-04,5038461.53
2021-01-05,5069361.53
2021-01-06,5049561.53
2021-01-07,5145261.53
2021-01-08,5212461.53
2021-01-11,5236461.53
2021-01-12,5224161.53
2021-01-13,5305461.53
2021-01-14,5294961.53
2021-01-15,5266461.53
2021-01-18,5287217.306
2021-01-19,5294826.764
2021-01-20,5294826.764
2021-01-21,5309580.29
2021-01-22,5266080.29
2021-01-25,5234935.004
2021-01-26,5234935.004
2021-01-27,5234935.004
2021-01-28,5264392.112
2021-01-29,5356792.112
2021-02-01,5271292.112
2021-02-02,5258149.694
2021-02-03,5258149.694
2021-02-04,5258149.694
2021-02-05,5258149.694
2021-02-17,5258149.694
2021-02-18,5258149.694
2021-02-19,5258149.694
2021-02-22,5236000.946
2021-02-23,5207253.206
2021-02-24,5207253.206
2021-02-25,5207253.206
2021-02-26,5207253.206
2021-03-02,5207253.206
2021-03-03,5207253.206
2021-03-04,5207253.206
2021-03-05,5138009.456
2021-03-08,5149709.456
2021-03-09,5147909.456
2021-03-10,5134464.26
2021-03-11,5134464.26
2021-03-12,5134464.26
2021-03-15,5134464.26
2021-03-16,5150468.918
2021-03-17,5150468.918
2021-03-18,5150468.918
2021-03-19,5150468.918
2021-03-22,5150468.918
2021-03-23,5127421.742
2021-03-24,5104975.466
2021-03-25,5061830.132
2021-03-26,5051436.014
2021-03-29,5088336.014
2021-03-30,5120736.014
2021-03-31,5091636.014
2021-04-01,5088387.542
2021-04-06,5129237.978
2021-04-07,5140337.978
2021-04-08,5188937.978
2021-04-09,5162237.978
2021-04-12,5160137.978
2021-04-13,5103534.962
2021-04-14,5111084.036
2021-04-15,5144132.276
2021-04-16,5170232.276
2021-04-19,5204132.276
2021-04-20,5218578.356
2021-04-21,5218578.356
2021-04-22,5173324.802
2021-04-23,5168872.232
2021-04-26,5229910.807
2021-04-27,5240160.807
2021-04-28,5230660.807
2021-04-29,5240160.807
2021-05-03,5177449.202
2021-05-04,5110598.936
2021-05-05,5159798.936
2021-05-06,5082446.78
2021-05-07,5082446.78
2021-05-10,5082446.78
2021-05-11,5210236.44
2021-05-12,5426236.44
2021-05-13,5457736.44
2021-05-14,5406236.44
2021-05-17,5385782.175
2021-05-18,5385782.175
