entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2021-01-04T09:45:00.000000000,14747.0,1,6,5000000.0,1.0,2021-01-15T20:00:00.000000000,15702.0,signal_exit,286017.306,482.69399999999996,1800.0,48
2021-01-19T11:45:00.000000000,15867.0,1,6,5286017.306,1.0,2021-01-19T13:35:00.000000000,15890.0,roll_blackout,6409.458,490.54200000000003,1800.0,0
2021-01-21T10:45:00.000000000,16081.0,1,6,5292426.764,1.0,2021-01-22T17:00:00.000000000,15879.0,signal_exit,-61091.759999999995,491.76000000000005,1800.0,11
2021-02-20T00:00:00.000000000,16460.0,1,6,5231335.004000001,1.0,2021-02-22T17:00:00.000000000,16288.0,signal_exit,-52096.488000000005,496.48799999999994,1800.0,1
2021-03-16T08:45:00.000000000,16253.0,1,6,5179238.516000001,1.0,2021-03-16T13:35:00.000000000,16304.0,roll_blackout,14804.658,495.342,1800.0,0
2021-03-22T23:00:00.000000000,16198.0,1,6,5194043.174000001,1.0,2021-03-24T04:00:00.000000000,16044.0,signal_exit,-46693.452000000005,493.452,1800.0,7
2021-03-26T11:45:00.000000000,16259.0,1,6,5147349.722,1.0,2021-03-31T15:00:00.000000000,16410.0,signal_exit,44803.986000000004,496.014,1800.0,20
2021-04-01T16:00:00.000000000,16596.0,1,6,5192153.708000001,1.0,2021-04-12T15:00:00.000000000,16842.0,signal_exit,73299.372,500.62800000000004,1800.0,100
2021-04-13T09:45:00.000000000,16994.0,1,6,5265453.08,1.0,2021-04-13T16:00:00.000000000,16819.0,signal_exit,-53002.878,502.87800000000004,1800.0,0
2021-04-15T11:45:00.000000000,16962.0,1,6,5212450.2020000005,1.0,2021-04-20T13:35:00.000000000,17318.0,roll_blackout,106294.32,505.68,1800.0,48
2021-04-22T08:45:00.000000000,17261.0,1,6,5318744.522000001,1.0,2021-04-22T15:00:00.000000000,17093.0,signal_exit,-50906.123999999996,506.124,1800.0,0
2021-04-23T16:00:00.000000000,17287.0,1,6,5267838.398000001,1.0,2021-05-03T10:45:00.000000000,17319.0,signal_exit,9092.364,507.6360000000001,1800.0,76
2021-05-28T09:45:00.000000000,16755.0,1,6,5276930.762000001,1.0,2021-06-03T21:00:00.000000000,17120.0,signal_exit,108996.75,503.25000000000006,1800.0,49
2021-06-05T02:00:00.000000000,17230.0,1,6,5385927.512000001,1.0,2021-06-07T10:45:00.000000000,16986.0,signal_exit,-73705.296,505.29600000000005,1800.0,0
2021-06-10T21:00:00.000000000,17182.0,1,6,5312222.216000001,1.0,2021-06-15T13:35:00.000000000,17388.0,roll_blackout,61292.58,507.4200000000001,1800.0,23
2021-06-17T23:00:00.000000000,17308.0,1,6,5373514.796000001,1.0,2021-06-18T16:00:00.000000000,17206.0,signal_exit,-31107.084000000003,507.08400000000006,1800.0,5
2021-06-23T10:45:00.000000000,17249.0,1,6,5342407.712000001,1.0,2021-07-02T01:00:00.000000000,17583.0,signal_exit,99691.00799999999,508.992,1800.0,78
2021-07-03T00:00:00.000000000,17737.0,1,6,5442098.720000002,1.0,2021-07-07T15:00:00.000000000,17840.0,signal_exit,30386.538,513.462,1800.0,59
2021-07-10T01:00:00.000000000,17800.0,1,6,5472485.258000001,1.0,2021-07-16T00:00:00.000000000,17882.0,signal_exit,24085.908,514.092,1800.0,50
2021-08-04T03:00:00.000000000,17506.0,1,6,5496571.166000001,1.0,2021-08-05T20:00:00.000000000,17483.0,signal_exit,-7409.934,509.934,1800.0,24
2021-08-26T00:00:00.000000000,17144.0,1,6,5489161.232000001,1.0,2021-09-02T12:45:00.000000000,17316.0,signal_exit,51093.24,506.76000000000005,1800.0,96
2021-09-14T08:45:00.000000000,17544.0,1,6,5540254.472000001,1.0,2021-09-14T13:35:00.000000000,17446.0,roll_blackout,-29909.94,509.93999999999994,1800.0,0
2021-10-19T09:45:00.000000000,16889.0,1,6,5510344.532000001,1.0,2021-10-19T13:35:00.000000000,16904.0,roll_blackout,3997.242,502.758,1800.0,0
2021-10-21T09:45:00.000000000,16986.0,1,6,5514341.774000001,1.0,2021-10-21T15:00:00.000000000,16807.0,signal_exit,-54202.757999999994,502.75800000000004,1800.0,0
