,equity
2021-01-04,5000000.0
2021-01-05,5000000.0
2021-01-06,5000000.0
2021-01-07,5000000.0
2021-01-08,5000000.0
2021-01-11,5000000.0
2021-01-12,5000000.0
2021-01-13,5000000.0
2021-01-14,5000000.0
2021-01-15,5000000.0
2021-01-18,5000000.0
2021-01-19,5000000.0
2021-01-20,5000000.0
2021-01-21,5000000.0
2021-01-22,5000000.0
2021-01-25,5000000.0
2021-01-26,5000000.0
2021-01-27,5000000.0
2021-01-28,5029457.108
2021-01-29,5121857.108
2021-02-01,5036357.108
2021-02-02,5023214.69
2021-02-03,5023214.69
2021-02-04,5023214.69
2021-02-05,5023214.69
2021-02-17,5023214.69
2021-02-18,5023214.69
2021-02-19,5023214.69
2021-02-22,5023214.69
2021-02-23,5023214.69
2021-02-24,5023214.69
2021-02-25,5023214.69
2021-02-26,5023214.69
2021-03-02,5023214.69
2021-03-03,5023214.69
2021-03-04,5023214.69
2021-03-05,4953970.94
2021-03-08,4965670.94
2021-03-09,4963870.94
2021-03-10,4950425.744
2021-03-11,4950425.744
2021-03-12,4950425.744
2021-03-15,4950425.744
2021-03-16,4950425.744
2021-03-17,4950425.744
2021-03-18,4950425.744
2021-03-19,4950425.744
2021-03-22,4950425.744
2021-03-23,4950425.744
2021-03-24,4950425.744
2021-03-25,4907280.41
2021-03-26,4887833.834
2021-03-29,4887833.834
2021-03-30,4887833.834
2021-03-31,4887833.834
2021-04-01,4887833.834
2021-04-06,4887833.834
2021-04-07,4887833.834
2021-04-08,4887833.834
2021-04-09,4887833.834
2021-04-12,4887833.834
2021-04-13,4887833.834
2021-04-14,4887833.834
2021-04-15,4887833.834
2021-04-16,4887833.834
2021-04-19,4887833.834
2021-04-20,4887833.834
2021-04-21,4887833.834
2021-04-22,4887833.834
2021-04-23,4887833.834
2021-04-26,4887833.834
2021-04-27,4887833.834
2021-04-28,4887833.834
2021-04-29,4887833.834
2021-05-03,4887833.834
2021-05-04,4832125.279
2021-05-05,4873125.279
2021-05-06,4808665.149
2021-05-07,4808665.149
2021-05-10,4808665.149
2021-05-11,4936454.809
2021-05-12,5152454.809
2021-05-13,5183954.809
2021-05-14,5132454.809
2021-05-17,5112000.544
2021-05-18,5112000.544
2021-05-19,5112000.544
2021-05-20,5112000.544
2021-05-21,5112000.544
2021-05-24,5112000.544
2021-05-25,5112000.544
2021-05-26,5112000.544
2021-05-27,5112000.544
2021-05-28,5112000.544
2021-05-31,5112000.544
2021-06-01,5112000.544
2021-06-02,5112000.544
2021-06-03,5112000.544
2021-06-04,5112000.544
2021-06-07,5112000.544
2021-06-08,5112000.544
2021-06-09,5112000.544
2021-06-10,5112000.544
2021-06-11,5112000.544
2021-06-15,5112000.544
2021-06-16,5112000.544
2021-06-17,5112000.544
2021-06-18,5112000.544
2021-06-21,5112000.544
2021-06-22,5112000.544
2021-06-23,5112000.544
2021-06-24,5112000.544
2021-06-25,5112000.544
2021-06-28,5112000.544
2021-06-29,5112000.544
2021-06-30,5112000.544
2021-07-01,5112000.544
2021-07-02,5112000.544
2021-07-05,5112000.544
2021-07-06,5112000.544
2021-07-07,5112000.544
2021-07-08,5112000.544
2021-07-09,5112000.544
2021-07-12,5112000.544
2021-07-13,5112000.544
2021-07-14,5112000.544
2021-07-15,5112000.544
2021-07-16,5112000.544
2021-07-19,5112000.544
2021-07-20,5130324.749
2021-07-21,5130324.749
2021-07-22,5130324.749
2021-07-23,5130324.749
2021-07-26,5149363.354
2021-07-27,5156613.354
2021-07-28,5208613.354
2021-07-29,5147152.304
2021-07-30,5147152.304
2021-08-02,5147152.304
2021-08-03,5147152.304
2021-08-04,5147152.304
2021-08-05,5147152.304
2021-08-06,5147152.304
2021-08-09,5147152.304
2021-08-10,5147152.304
2021-08-11,5147152.304
2021-08-12,5147152.304
2021-08-13,5176000.118
2021-08-16,5224600.118
2021-08-17,5270250.404
2021-08-18,5270250.404
2021-08-19,5270250.404
2021-08-20,5258303.48
2021-08-23,5115553.472
2021-08-24,5115553.472
2021-08-25,5115553.472
2021-08-26,5115553.472
2021-08-27,5115553.472
2021-08-30,5115553.472
2021-08-31,5115553.472
2021-09-01,5115553.472
2021-09-02,5115553.472
2021-09-03,5115553.472
2021-09-06,5115553.472
2021-09-07,5115553.472
2021-09-08,5115553.472
2021-09-09,5115553.472
2021-09-10,5115553.472
2021-09-13,5115553.472
2021-09-14,5115553.472
2021-09-15,5115553.472
2021-09-16,5105342.432
2021-09-17,5078380.657
2021-09-22,5069429.431
2021-09-23,5015429.431
2021-09-24,4991476.477
2021-09-27,4991476.477
2021-09-28,4991476.477
2021-09-29,5028766.612
2021-09-30,5005266.612
2021-10-01,5105266.612
2021-10-04,5145016.612
2021-10-05,5135016.612
2021-10-06,5111059.147
2021-10-07,5054163.139
2021-10-08,5054163.139
2021-10-12,5054163.139
2021-10-13,5054163.139
2021-10-14,5026915.249
2021-10-15,4993066.147
2021-10-18,4993066.147
2021-10-19,4993066.147
2021-10-20,4993066.147
2021-10-21,4993066.147
2021-10-22,4993066.147
2021-10-25,4993066.147
2021-10-26,4993066.147
2021-10-27,4993066.147
2021-10-28,4993066.147
2021-10-29,4993066.147
2021-11-01,4993066.147
2021-11-02,4993066.147
2021-11-03,4993066.147
2021-11-04,4993066.147
2021-11-05,4993066.147
2021-11-08,4993066.147
2021-11-09,4993066.147
2021-11-10,4993066.147
2021-11-11,4993066.147
2021-11-12,4993066.147
2021-11-15,4993066.147
2021-11-16,4993066.147
2021-11-17,4993066.147
2021-11-18,4993066.147
2021-11-19,4993066.147
2021-11-22,4993066.147
2021-11-23,4993066.147
2021-11-24,4993066.147
2021-11-25,4993066.147
2021-11-26,4998854.317
2021-11-29,5007354.317
2021-11-30,4965391.942
2021-12-01,4913468.1219999995
2021-12-02,4913468.1219999995
2021-12-03,4913468.1219999995
2021-12-06,4913468.1219999995
2021-12-07,4913468.1219999995
2021-12-08,4913468.1219999995
2021-12-09,4913468.1219999995
2021-12-10,4913468.1219999995
2021-12-13,4913468.1219999995
2021-12-14,4913468.1219999995
