,equity
2021-01-04,5000000.0
2021-01-05,5000000.0
2021-01-06,5000000.0
2021-01-07,5000000.0
2021-01-08,5000000.0
2021-01-11,5000000.0
2021-01-12,5000000.0
2021-01-13,5000000.0
2021-01-14,5000000.0
2021-01-15,5000000.0
2021-01-18,5000000.0
2021-01-19,5000000.0
2021-01-20,5000000.0
2021-01-21,5000000.0
2021-01-22,5000000.0
2021-01-25,5000000.0
2021-01-26,5000000.0
2021-01-27,5000000.0
2021-01-28,5004809.52
2021-01-29,5020209.52
2021-02-01,5005959.52
2021-02-02,5003669.115
2021-02-03,5003669.115
2021-02-04,5003669.115
2021-02-05,5003669.115
2021-02-17,5003669.115
2021-02-18,5003669.115
2021-02-19,5003669.115
2021-02-22,5003669.115
2021-02-23,5003669.115
2021-02-24,5003669.115
2021-02-25,5003669.115
2021-02-26,5003669.115
2021-03-02,5003669.115
2021-03-03,5003669.115
2021-03-04,5003669.115
2021-03-05,4992028.492
2021-03-08,4993978.492
2021-03-09,4993678.492
2021-03-10,4991337.624
2021-03-11,4991337.624
2021-03-12,4991337.624
2021-03-15,4991337.624
2021-03-16,4991337.624
2021-03-17,4991337.624
2021-03-18,4991337.624
2021-03-19,4991337.624
2021-03-22,4991337.624
2021-03-23,4991337.624
2021-03-24,4991337.624
2021-03-25,4984046.737
2021-03-26,4980705.639
2021-03-29,4980705.639
2021-03-30,4980705.639
2021-03-31,4980705.639
2021-04-01,4980705.639
2021-04-06,4980705.639
2021-04-07,4980705.639
2021-04-08,4980705.639
2021-04-09,4980705.639
2021-04-12,4980705.639
2021-04-13,4980705.639
2021-04-14,4980705.639
2021-04-15,4980705.639
2021-04-16,4980705.639
2021-04-19,4980705.639
2021-04-20,4980705.639
2021-04-21,4980705.639
2021-04-22,4980705.639
2021-04-23,4980705.639
2021-04-26,4980705.639
2021-04-27,4980705.639
2021-04-28,4980705.639
2021-04-29,4980705.639
2021-05-03,4980705.639
2021-05-04,4969463.93
2021-05-05,4977663.93
2021-05-06,4964671.902
2021-05-07,4964671.902
2021-05-10,4964671.902
2021-05-11,4990129.836
2021-05-12,5033329.836
2021-05-13,5039629.836
2021-05-14,5029329.836
2021-05-17,5025138.981
2021-05-18,5025138.981
2021-05-19,5025138.981
2021-05-20,5025138.981
2021-05-21,5025138.981
2021-05-24,5025138.981
2021-05-25,5025138.981
2021-05-26,5025138.981
2021-05-27,5025138.981
2021-05-28,5025138.981
2021-05-31,5025138.981
2021-06-01,5025138.981
2021-06-02,5025138.981
2021-06-03,5025138.981
2021-06-04,5025138.981
2021-06-07,5025138.981
2021-06-08,5025138.981
2021-06-09,5025138.981
2021-06-10,5025138.981
2021-06-11,5025138.981
2021-06-15,5025138.981
2021-06-16,5025138.981
2021-06-17,5025138.981
2021-06-18,5025138.981
2021-06-21,5025138.981
2021-06-22,5025138.981
2021-06-23,5025138.981
2021-06-24,5025138.981
2021-06-25,5025138.981
2021-06-28,5025138.981
2021-06-29,5025138.981
2021-06-30,5025138.981
2021-07-01,5025138.981
2021-07-02,5025138.981
2021-07-05,5025138.981
2021-07-06,5025138.981
2021-07-07,5025138.981
2021-07-08,5025138.981
2021-07-09,5025138.981
2021-07-12,5025138.981
2021-07-13,5025138.981
2021-07-14,5025138.981
2021-07-15,5025138.981
2021-07-16,5025138.981
2021-07-19,5025138.981
2021-07-20,5028603.822
2021-07-21,5028603.822
2021-07-22,5028603.822
2021-07-23,5028603.822
2021-07-26,5032311.545
2021-07-27,5033761.545
2021-07-28,5044161.545
2021-07-29,5031769.333
2021-07-30,5031769.333
2021-08-02,5031769.333
2021-08-03,5031769.333
2021-08-04,5031769.333
2021-08-05,5031769.333
2021-08-06,5031769.333
2021-08-09,5031769.333
2021-08-10,5031769.333
2021-08-11,5031769.333
2021-08-12,5031769.333
2021-08-13,5036477.304
2021-08-16,5044577.304
2021-08-17,5052085.683
2021-08-18,5052085.683
2021-08-19,5052085.683
2021-08-20,5049994.531
2021-08-23,5026102.861
2021-08-24,5026102.861
2021-08-25,5026102.861
2021-08-26,5026102.861
2021-08-27,5026102.861
2021-08-30,5026102.861
2021-08-31,5026102.861
2021-09-01,5026102.861
2021-09-02,5026102.861
2021-09-03,5026102.861
2021-09-06,5026102.861
2021-09-07,5026102.861
2021-09-08,5026102.861
2021-09-09,5026102.861
2021-09-10,5026102.861
2021-09-13,5026102.861
2021-09-14,5026102.861
2021-09-15,5026102.861
2021-09-16,5023960.655
2021-09-17,5018468.298
2021-09-22,5016876.4290000005
2021-09-23,5007876.4290000005
2021-09-24,5003784.268
2021-09-27,5003784.268
2021-09-28,5003784.268
2021-09-29,5011142.297
2021-09-30,5006442.297
2021-10-01,5026442.297
2021-10-04,5034392.297
2021-10-05,5032392.297
2021-10-06,5027500.802
2021-10-07,5017818.134
2021-10-08,5017818.134
2021-10-12,5017818.134
2021-10-13,5017818.134
2021-10-14,5013176.821
2021-10-15,5007435.302
2021-10-18,5007435.302
2021-10-19,5007435.302
2021-10-20,5007435.302
2021-10-21,5007435.302
2021-10-22,5007435.302
2021-10-25,5007435.302
2021-10-26,5007435.302
2021-10-27,5007435.302
2021-10-28,5007435.302
2021-10-29,5007435.302
2021-11-01,5007435.302
2021-11-02,5007435.302
2021-11-03,5007435.302
2021-11-04,5007435.302
2021-11-05,5007435.302
2021-11-08,5007435.302
2021-11-09,5007435.302
2021-11-10,5007435.302
2021-11-11,5007435.302
2021-11-12,5007435.302
2021-11-15,5007435.302
2021-11-16,5007435.302
2021-11-17,5007435.302
2021-11-18,5007435.302
2021-11-19,5007435.302
2021-11-22,5007435.302
2021-11-23,5007435.302
2021-11-24,5007435.302
2021-11-25,5007435.302
2021-11-26,5008492.938
2021-11-29,5010192.938
2021-11-30,5001700.461
2021-12-01,4991115.697
2021-12-02,4991115.697
2021-12-03,4991115.697
2021-12-06,4991115.697
2021-12-07,4991115.697
2021-12-08,4991115.697
2021-12-09,4991115.697
2021-12-10,4991115.697
2021-12-13,4991115.697
2021-12-14,4991115.697
2021-12-15,4991115.697
