,equity
2024-01-02,5000000.0
2024-01-03,5000007.453
2024-01-04,5000007.453
2024-01-05,5001357.453
2024-01-08,4998714.882
2024-01-09,4998714.882
2024-01-10,5001622.365
2024-01-11,4995079.777
2024-01-12,4989694.793
2024-01-15,4989694.793
2024-01-16,4989694.793
2024-01-17,4989694.793
2024-01-18,4989694.793
2024-01-19,4989952.121
2024-01-22,4996902.121
2024-01-23,4999552.121
2024-01-24,5001202.121
2024-01-25,5005802.121
2024-01-26,5006002.121
2024-01-29,5012302.121
2024-01-30,5010102.121
2024-01-31,5008309.075
2024-02-01,5008309.075
2024-02-02,5007415.974
2024-02-05,5007515.974
2024-02-15,5036565.974
2024-02-16,5034915.974
2024-02-19,5036765.974
2024-02-20,5040472.228
2024-02-21,5040472.228
2024-02-22,5040472.228
2024-02-23,5039978.306
2024-02-26,5042478.306
2024-02-27,5035884.474
2024-02-29,5035884.474
2024-03-01,5035790.512
2024-03-04,5053440.512
2024-03-05,5057190.512
2024-03-06,5063190.512
2024-03-07,5073190.512
2024-03-08,5077290.512
2024-03-11,5074645.773
2024-03-12,5079950.925
2024-03-13,5078550.925
2024-03-14,5079150.925
2024-03-15,5076006.048
2024-03-18,5076006.048
2024-03-19,5071516.232
2024-03-20,5071516.232
2024-03-21,5075671.052
2024-03-22,5074571.052
2024-03-25,5074021.052
2024-03-26,5071775.865
2024-03-27,5071775.865
2024-03-28,5071775.865
2024-03-29,5071980.59
2024-04-01,5072380.59
2024-04-02,5084130.59
2024-04-03,5075835.232
2024-04-08,5072539.717
2024-04-09,5093739.717
2024-04-10,5092589.717
2024-04-11,5087689.717
2024-04-12,5084944.018
2024-04-15,5084944.018
2024-04-16,5086004.137
2024-04-17,5086004.137
2024-04-18,5086004.137
2024-04-19,5085509.6
2024-04-22,5086609.6
2024-04-23,5078959.6
2024-04-24,5074914.843
2024-04-25,5074914.843
2024-04-26,5074914.843
2024-04-29,5074914.843
2024-04-30,5074914.843
2024-05-02,5074914.843
2024-05-03,5071723.929
2024-05-06,5069578.285
2024-05-07,5071978.285
2024-05-08,5075728.285
2024-05-09,5070078.285
2024-05-10,5072186.932
2024-05-13,5075886.932
2024-05-14,5081590.934
2024-05-15,5081590.934
2024-05-16,5072344.38
2024-05-17,5070644.38
2024-05-20,5066248.131
2024-05-21,5066248.131
2024-05-22,5069251.609
2024-05-23,5070301.609
2024-05-24,5060205.206
2024-05-27,5060308.334
2024-05-28,5064258.334
2024-05-29,5054111.582
