entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2024-01-03T10:45:00.000000000,17545.0,-1,1,5000000.0,1.0,2024-01-06T01:00:00.000000000,17573.0,signal_exit,-1485.118,85.11800000000001,300.0,0
2024-01-09T16:00:00.000000000,17515.0,-1,1,4998514.882,1.0,2024-01-11T12:45:00.000000000,17590.0,signal_exit,-3835.105000000001,85.10499999999999,300.0,0
2024-01-12T00:00:00.000000000,17437.0,-1,1,4994679.777,1.0,2024-01-12T11:45:00.000000000,17547.0,signal_exit,-5584.984,84.984,300.0,0
2024-01-19T12:45:00.000000000,17674.0,1,1,4989094.793,1.0,2024-01-30T17:00:00.000000000,18044.0,signal_exit,18414.282,85.718,300.0,0
2024-02-02T08:45:00.000000000,18103.0,1,1,5007509.074999999,1.0,2024-02-20T13:35:00.000000000,18744.0,roll_blackout,31963.153,86.84700000000001,300.0,0
2024-02-22T16:00:00.000000000,18924.0,1,1,5039472.227999999,1.0,2024-02-27T11:45:00.000000000,18830.0,signal_exit,-4787.754,87.75399999999999,300.0,0
2024-02-29T15:00:00.000000000,18964.0,1,1,5034684.473999999,1.0,2024-03-11T11:45:00.000000000,19737.0,signal_exit,38561.299,88.701,300.0,0
2024-03-12T10:45:00.000000000,19850.0,1,1,5073245.772999999,1.0,2024-03-14T23:00:00.000000000,19875.0,signal_exit,1160.275,89.725,300.0,0
2024-03-18T20:00:00.000000000,19954.0,1,1,5074406.0479999995,1.0,2024-03-19T13:35:00.000000000,19862.0,roll_blackout,-4689.816000000001,89.816,300.0,0
2024-03-21T10:45:00.000000000,20182.0,1,1,5069716.232,1.0,2024-03-26T12:45:00.000000000,20185.0,signal_exit,59.63299999999998,90.367,300.0,0
2024-03-29T09:45:00.000000000,20277.0,1,1,5069775.865,1.0,2024-04-03T10:45:00.000000000,20356.0,signal_exit,3859.3670000000006,90.633,300.0,0
2024-04-08T10:45:00.000000000,20517.0,1,1,5073635.232,1.0,2024-04-11T18:00:00.000000000,20697.0,signal_exit,8908.786,91.214,300.0,0
2024-04-16T10:45:00.000000000,19950.0,-1,1,5082544.018,1.0,2024-04-16T13:35:00.000000000,19931.0,roll_blackout,860.119,89.881,300.0,0
2024-04-19T09:45:00.000000000,19535.0,-1,1,5083404.137,1.0,2024-04-23T19:00:00.000000000,19759.0,signal_exit,-11289.294,89.29400000000001,300.0,0
2024-05-03T03:00:00.000000000,20490.0,1,1,5072114.843,1.0,2024-05-03T11:45:00.000000000,20424.0,signal_exit,-3390.914,90.91400000000002,300.0,0
2024-05-04T02:00:00.000000000,20646.0,1,1,5068723.9290000005,1.0,2024-05-09T16:00:00.000000000,20598.0,signal_exit,-2491.2439999999997,91.244,300.0,0
2024-05-10T12:45:00.000000000,20755.0,1,1,5066232.6850000005,1.0,2024-05-14T13:35:00.000000000,20996.0,roll_blackout,11958.249,91.751,300.0,0
2024-05-16T09:45:00.000000000,21556.0,1,1,5078190.934,1.0,2024-05-20T12:45:00.000000000,21247.0,signal_exit,-15542.803,92.803,300.0,0
2024-05-22T10:45:00.000000000,21524.0,1,1,5062648.131,1.0,2024-05-24T03:00:00.000000000,21401.0,signal_exit,-6242.925,92.925,300.0,0
2024-05-27T09:45:00.000000000,21874.0,1,1,5056405.206,1.0,2024-05-29T12:45:00.000000000,21750.0,signal_exit,-6293.624,93.624,300.0,0
2024-05-31T15:00:00.000000000,21284.0,-1,1,5050111.582,1.0,2024-06-03T10:45:00.000000000,21673.0,signal_exit,-19542.957,92.957,300.0,0
2024-06-04T16:00:00.000000000,21238.0,-1,1,5030568.625,1.0,2024-06-05T11:45:00.000000000,21418.0,signal_exit,-9092.656,92.656,300.0,0
2024-06-12T12:45:00.000000000,22003.0,1,1,5021475.969,1.0,2024-06-18T13:35:00.000000000,22785.0,roll_blackout,39005.212,94.788,300.0,0
2024-06-20T12:45:00.000000000,23313.0,1,1,5060481.181,1.0,2024-06-21T17:00:00.000000000,22934.0,signal_exit,-19046.247,96.247,300.0,0
2024-06-26T10:45:00.000000000,22976.0,1,1,5041434.933999999,1.0,2024-06-26T20:00:00.000000000,22760.0,signal_exit,-10895.736,95.736,300.0,0
2024-07-03T02:00:00.000000000,23040.0,1,1,5030539.198,1.0,2024-07-12T10:45:00.000000000,23940.0,signal_exit,44903.02,96.98,300.0,0
2024-07-19T00:00:00.000000000,22904.0,-1,1,5075442.217999999,1.0,2024-07-23T20:00:00.000000000,22849.0,signal_exit,2654.247,95.753,300.0,0
2024-07-26T09:45:00.000000000,22030.0,-1,1,5078096.465,1.0,2024-07-30T21:00:00.000000000,22290.0,signal_exit,-13094.320000000002,94.32,300.0,0
2024-08-02T01:00:00.000000000,22182.0,-1,1,5065002.145,1.0,2024-08-07T10:45:00.000000000,21204.0,signal_exit,48806.614,93.386,300.0,0
2024-08-20T02:00:00.000000000,22545.0,1,1,5113808.759,1.0,2024-08-20T13:35:00.000000000,22426.0,roll_blackout,-6044.9710000000005,94.971,300.0,0
2024-09-03T22:00:00.000000000,21810.0,-1,1,5107763.788,1.0,2024-09-10T01:00:00.000000000,21301.0,signal_exit,25356.889,93.111,300.0,0
2024-09-11T00:00:00.000000000,20851.0,-1,1,5133120.677,1.0,2024-09-11T04:00:00.000000000,21156.0,signal_exit,-15342.007,92.007,300.0,0
2024-09-19T12:45:00.000000000,22009.0,1,1,5117778.67,1.0,2024-09-27T16:00:00.000000000,22759.0,signal_exit,37405.232,94.768,300.0,0
2024-10-12T03:00:00.000000000,23075.0,1,1,5155183.902,1.0,2024-10-15T13:35:00.000000000,23246.0,roll_blackout,8453.679,96.321,300.0,0
2024-10-17T16:00:00.000000000,23564.0,1,1,5163637.580999999,1.0,2024-10-21T19:00:00.000000000,23492.0,signal_exit,-3697.056,97.056,300.0,0
2024-10-25T18:00:00.000000000,23571.0,1,1,5159940.524999999,1.0,2024-10-28T11:45:00.000000000,23307.0,signal_exit,-13296.878,96.878,300.0,0
2024-10-29T10:45:00.000000000,22763.0,-1,1,5146643.647,1.0,2024-11-01T23:00:00.000000000,22936.0,signal_exit,-8745.699,95.699,300.0,0
2024-11-07T22:00:00.000000000,23616.0,1,1,5137897.948,1.0,2024-11-11T10:45:00.000000000,23421.0,signal_exit,-9847.037,97.037,300.0,0
2024-11-12T18:00:00.000000000,22691.0,-1,1,5128050.911,1.0,2024-11-15T21:00:00.000000000,22825.0,signal_exit,-6795.516,95.516,300.0,0
2024-11-16T00:00:00.000000000,22608.0,-1,1,5121255.3950000005,1.0,2024-11-19T10:45:00.000000000,22759.0,signal_exit,-7645.367,95.367,300.0,0
2024-11-21T16:00:00.000000000,22486.0,-1,1,5113610.028000001,1.0,2024-11-22T03:00:00.000000000,22830.0,signal_exit,-17295.316000000003,95.316,300.0,0
2024-11-26T16:00:00.000000000,22554.0,-1,1,5096314.712000001,1.0,2024-11-30T00:00:00.000000000,22514.0,signal_exit,1904.932,95.068,300.0,0
2024-12-04T15:00:00.000000000,23278.0,1,1,5098219.644000001,1.0,2024-12-06T15:00:00.000000000,23207.0,signal_exit,-3646.485,96.485,300.0,0
2024-12-09T17:00:00.000000000,23420.0,1,1,5094573.159000001,1.0,2024-12-10T08:45:00.000000000,23225.0,signal_exit,-9846.645,96.645,300.0,0
2024-12-19T08:45:00.000000000,22744.0,-1,1,5084726.514000001,1.0,2024-12-23T10:45:00.000000000,23172.0,signal_exit,-21495.915999999997,95.916,300.0,0
2024-12-25T18:00:00.000000000,23380.0,1,1,5063230.598000001,1.0,2024-12-26T18:00:00.000000000,23235.0,signal_exit,-7346.615,96.615,300.0,0
2024-12-27T15:00:00.000000000,23385.0,1,1,5055883.983000001,1.0,2024-12-27T23:00:00.000000000,23200.0,signal_exit,-9346.585,96.585,300.0,0
2025-01-02T09:45:00.000000000,22898.0,-1,1,5046537.398000001,1.0,2025-01-03T11:45:00.000000000,23035.0,signal_exit,-6945.933,95.933,300.0,0
2025-01-06T10:45:00.000000000,23489.0,1,1,5039591.465000001,1.0,2025-01-08T12:45:00.000000000,23452.0,signal_exit,-1946.941,96.941,300.0,0
2025-01-09T16:00:00.000000000,23030.0,-1,1,5037644.524000001,1.0,2025-01-14T13:35:00.000000000,22752.0,roll_blackout,13804.218,95.782,300.0,0
2025-01-22T17:00:00.000000000,23745.0,1,1,5051448.7420000015,1.0,2025-02-03T10:45:00.000000000,22584.0,signal_exit,-58146.329000000005,96.329,300.0,0
2025-02-07T15:00:00.000000000,23434.0,1,1,4993302.413000002,1.0,2025-02-08T02:00:00.000000000,23259.0,signal_exit,-8846.693,96.693,300.0,0
