,equity
2024-01-02,5000000.0
2024-01-03,5000000.0
2024-01-04,5000000.0
2024-01-05,5000000.0
2024-01-08,5000000.0
2024-01-09,5000000.0
2024-01-10,5000000.0
2024-01-11,5000000.0
2024-01-12,5000000.0
2024-01-15,5000000.0
2024-01-16,5000000.0
2024-01-17,5000000.0
2024-01-18,5000000.0
2024-01-19,5001286.64
2024-01-22,5036036.64
2024-01-23,5049286.64
2024-01-24,5057536.64
2024-01-25,5080536.64
2024-01-26,5081536.64
2024-01-29,5113036.64
2024-01-30,5102036.64
2024-01-31,5093071.41
2024-02-01,5093071.41
2024-02-02,5088605.905
2024-02-05,5089105.905
2024-02-15,5234355.905
2024-02-16,5226105.905
2024-02-19,5235355.905
2024-02-20,5253887.175
2024-02-21,5253887.175
2024-02-22,5253887.175
2024-02-23,5251417.565
2024-02-26,5263917.565
2024-02-27,5230948.405
2024-02-29,5230948.405
2024-03-01,5230478.595
2024-03-04,5318728.595
2024-03-05,5337478.595
2024-03-06,5367478.595
2024-03-07,5417478.595
2024-03-08,5437978.595
2024-03-11,5424754.9
2024-03-12,5451280.66
2024-03-13,5444280.66
2024-03-14,5447280.66
2024-03-15,5431556.275
2024-03-18,5431556.275
2024-03-19,5409107.195
2024-03-20,5409107.195
2024-03-21,5429881.295
2024-03-22,5424381.295
2024-03-25,5421631.295
2024-03-26,5410405.36
2024-03-27,5410405.36
2024-03-28,5410405.36
2024-03-29,5411428.985
2024-04-01,5413428.985
2024-04-02,5472178.985
2024-04-03,5430702.195
2024-04-08,5414224.62
2024-04-09,5520224.62
2024-04-10,5514474.62
2024-04-11,5489974.62
2024-04-12,5476246.125
2024-04-15,5476246.125
2024-04-16,5476246.125
2024-04-17,5476246.125
2024-04-18,5476246.125
2024-04-19,5476246.125
2024-04-22,5476246.125
2024-04-23,5476246.125
2024-04-24,5476246.125
2024-04-25,5476246.125
2024-04-26,5476246.125
2024-04-29,5476246.125
2024-04-30,5476246.125
2024-05-02,5476246.125
2024-05-03,5460291.555
2024-05-06,5449563.335
2024-05-07,5461563.335
2024-05-08,5480313.335
2024-05-09,5452063.335
2024-05-10,5462606.57
2024-05-13,5481106.57
2024-05-14,5509626.58
2024-05-15,5509626.58
2024-05-16,5463393.81
2024-05-17,5454893.81
2024-05-20,5432912.565
2024-05-21,5432912.565
2024-05-22,5447929.955
2024-05-23,5453179.955
2024-05-24,5402697.94
2024-05-27,5403110.452
2024-05-28,5418910.452
2024-05-29,5378323.444
2024-05-30,5378323.444
2024-05-31,5378323.444
2024-06-03,5378323.444
2024-06-04,5378323.444
2024-06-05,5378323.444
2024-06-06,5378323.444
2024-06-07,5378323.444
2024-06-11,5378323.444
2024-06-12,5387135.44
2024-06-13,5442535.44
2024-06-14,5480135.44
2024-06-17,5473335.44
2024-06-18,5535144.292
2024-06-19,5535144.292
2024-06-20,5548351.048
2024-06-21,5514751.048
2024-06-24,5459759.3040000005
2024-06-25,5459759.3040000005
2024-06-26,5439167.408
2024-06-27,5416976.36
2024-06-28,5416976.36
2024-07-01,5416976.36
2024-07-02,5416976.36
2024-07-03,5446184.208
2024-07-04,5533984.208
