period,return,ending_equity
2024-01,0.018614281999999926,5093071.41
2024-02,0.027071482785276713,5230948.405
2024-03,0.03450245845045763,5411428.985
2024-04,0.011977823266214438,5476246.125
2024-05,-0.017881351342659002,5378323.444
2024-06,0.007186796480810553,5416976.36
2024-07,0.033304941356620654,5597388.44
2024-08,-0.004176927195712055,5574008.556
2024-09,0.03373266440317968,5762034.716
2024-10,-0.00551211882007685,5730273.696
2024-11,-0.006734084626173531,5691685.548
2024-12,-0.020652110698790138,5574140.228
2025-01,-0.0012536039127433174,5567152.464
2025-02,-0.05272892127496798,5273602.52
2025-03,0.0,5273602.52
2025-04,0.03058203275433824,5434880.005
2025-05,0.023111673097555352,5560489.175
2025-06,0.0246992109286861,5697828.87
2025-07,-0.009623175116524885,5642997.664999999
2025-08,0.0023469738579096067,5656241.632999999
2025-09,0.04214615843304448,5894630.489
2025-10,0.01250608331388503,5968349.229
2025-11,-0.0036213189226564912,5946735.933
2025-12,0.013308253282414473,6025876.601
2026-01,0.08848883495415594,6559099.401
2026-02,0.019387361774180878,6686263.034
2026-03,-0.014317399796150543,6590533.132999999
2026-04,0.035403216445676344,6823859.204
2026-05,0.0681263890567223,7288744.090999999
2026-06,-0.0024516705178421194,7270874.491999999
2026-07,-0.026259637710715045,7079943.961999999
2026-08,0.026621347571620824,7268421.611
2026-09,-0.0191428054736712,7129283.629999999
