,equity
2024-01-02,5000000.0
2024-01-03,4999907.455
2024-01-04,4999907.455
2024-01-05,5001257.455
2024-01-08,4998514.882
2024-01-09,4998514.882
2024-01-10,5001322.367
2024-01-11,4994679.777
2024-01-12,4989094.793
2024-01-15,4989094.793
2024-01-16,4989094.793
2024-01-17,4989094.793
2024-01-18,4989094.793
2024-01-19,4989094.793
2024-01-22,4989094.793
2024-01-23,4989094.793
2024-01-24,4989094.793
2024-01-25,4989094.793
2024-01-26,4989094.793
2024-01-29,4989094.793
2024-01-30,4989094.793
2024-01-31,4989094.793
2024-02-01,4989094.793
2024-02-02,4989094.793
2024-02-05,4989094.793
2024-02-15,4989094.793
2024-02-16,4989094.793
2024-02-19,4989094.793
2024-02-20,4989094.793
2024-02-21,4989094.793
2024-02-22,4989094.793
2024-02-23,4989094.793
2024-02-26,4989094.793
2024-02-27,4989094.793
2024-02-29,4989094.793
2024-03-01,4989094.793
2024-03-04,4989094.793
2024-03-05,4989094.793
2024-03-06,4989094.793
2024-03-07,4989094.793
2024-03-08,4989094.793
2024-03-11,4989094.793
2024-03-12,4989094.793
2024-03-13,4989094.793
2024-03-14,4989094.793
2024-03-15,4989094.793
2024-03-18,4989094.793
2024-03-19,4989094.793
2024-03-20,4989094.793
2024-03-21,4989094.793
2024-03-22,4989094.793
2024-03-25,4989094.793
2024-03-26,4989094.793
2024-03-27,4989094.793
2024-03-28,4989094.793
2024-03-29,4989094.793
2024-04-01,4989094.793
2024-04-02,4989094.793
2024-04-03,4989094.793
2024-04-08,4989094.793
2024-04-09,4989094.793
2024-04-10,4989094.793
2024-04-11,4989094.793
2024-04-12,4989094.793
2024-04-15,4989094.793
2024-04-16,4989954.912
2024-04-17,4989954.912
2024-04-18,4989954.912
2024-04-19,4989360.377
2024-04-22,4990460.377
2024-04-23,4982810.377
2024-04-24,4978665.618
2024-04-25,4978665.618
2024-04-26,4978665.618
2024-04-29,4978665.618
2024-04-30,4978665.618
2024-05-02,4978665.618
2024-05-03,4978665.618
2024-05-06,4978665.618
2024-05-07,4978665.618
2024-05-08,4978665.618
2024-05-09,4978665.618
2024-05-10,4978665.618
2024-05-13,4978665.618
2024-05-14,4978665.618
2024-05-15,4978665.618
2024-05-16,4978665.618
2024-05-17,4978665.618
2024-05-20,4978665.618
2024-05-21,4978665.618
2024-05-22,4978665.618
2024-05-23,4978665.618
2024-05-24,4978665.618
2024-05-27,4978665.618
2024-05-28,4978665.618
2024-05-29,4978665.618
2024-05-30,4978665.618
2024-05-31,4978665.618
2024-06-03,4959122.661
2024-06-04,4959122.661
2024-06-05,4950030.005
2024-06-06,4950030.005
2024-06-07,4950030.005
2024-06-11,4950030.005
2024-06-12,4950030.005
2024-06-13,4950030.005
2024-06-14,4950030.005
2024-06-17,4950030.005
2024-06-18,4950030.005
2024-06-19,4950030.005
2024-06-20,4950030.005
2024-06-21,4950030.005
2024-06-24,4950030.005
2024-06-25,4950030.005
2024-06-26,4950030.005
2024-06-27,4950030.005
2024-06-28,4950030.005
2024-07-01,4950030.005
2024-07-02,4950030.005
2024-07-03,4950030.005
2024-07-04,4950030.005
2024-07-05,4950030.005
2024-07-08,4950030.005
2024-07-09,4950030.005
2024-07-10,4950030.005
2024-07-11,4950030.005
2024-07-12,4950030.005
2024-07-15,4950030.005
2024-07-16,4950030.005
2024-07-17,4950030.005
2024-07-18,4950030.005
2024-07-19,4949732.101
2024-07-22,4976232.101
2024-07-23,4953682.101
2024-07-26,4949387.222
2024-07-29,4941087.222
2024-07-30,4941837.222
2024-07-31,4939589.932
2024-08-01,4939589.932
2024-08-02,4971992.75
2024-08-05,5079942.75
2024-08-06,5027642.75
2024-08-07,4988396.546
2024-08-08,4988396.546
2024-08-09,4988396.546
2024-08-12,4988396.546
2024-08-13,4988396.546
2024-08-14,4988396.546
2024-08-15,4988396.546
2024-08-16,4988396.546
2024-08-19,4988396.546
2024-08-20,4988396.546
2024-08-21,4988396.546
2024-08-22,4988396.546
2024-08-23,4988396.546
2024-08-26,4988396.546
2024-08-27,4988396.546
2024-08-28,4988396.546
2024-08-29,4988396.546
2024-08-30,4988396.546
2024-09-02,4988396.546
2024-09-03,4988396.546
2024-09-04,5031499.736
2024-09-05,5019699.736
2024-09-06,5012899.736
2024-09-09,5025199.736
2024-09-10,5013753.435
2024-09-11,4998411.428
2024-09-12,4998411.428
2024-09-13,4998411.428
2024-09-16,4998411.428
2024-09-18,4998411.428
2024-09-19,4998411.428
2024-09-20,4998411.428
2024-09-23,4998411.428
2024-09-24,4998411.428
2024-09-25,4998411.428
2024-09-26,4998411.428
2024-09-27,4998411.428
2024-09-30,4998411.428
2024-10-01,4998411.428
2024-10-04,4998411.428
2024-10-07,4998411.428
2024-10-08,4998411.428
2024-10-09,4998411.428
2024-10-11,4998411.428
2024-10-14,4998411.428
2024-10-15,4998411.428
2024-10-16,4998411.428
2024-10-17,4998411.428
2024-10-18,4998411.428
2024-10-21,4998411.428
2024-10-22,4998411.428
2024-10-23,4998411.428
2024-10-24,4998411.428
