,equity
2017-07-03,5000000.0
2017-07-04,5000000.0
2017-07-05,5000000.0
2017-07-06,5000000.0
2017-07-07,5000000.0
2017-07-10,5000000.0
2017-07-11,5000000.0
2017-07-12,4998614.634
2017-07-13,5002664.634
2017-07-14,5001814.634
2017-07-17,5003464.634
2017-07-18,5004729.172
2017-07-19,5004729.172
2017-07-20,5004729.172
2017-07-21,5004729.172
2017-07-24,5004729.172
2017-07-25,5004729.172
2017-07-26,5000543.76
2017-07-27,5000458.432
2017-07-28,5000458.432
2017-07-31,5000458.432
2017-08-01,5000458.432
2017-08-02,5000458.432
2017-08-03,5000458.432
2017-08-04,4999572.976
2017-08-07,5004072.976
2017-08-08,5003922.976
2017-08-09,5000837.511
2017-08-10,5000837.511
2017-08-11,5000837.511
2017-08-14,5000837.511
2017-08-15,5000837.511
2017-08-16,5000837.511
2017-08-17,5000837.511
2017-08-18,4998902.29
2017-08-21,4998167.017
2017-08-22,4998167.017
2017-08-23,4998167.017
2017-08-24,4998167.017
2017-08-25,4999131.55
2017-08-28,4999281.55
2017-08-29,4997396.097
2017-08-30,4997860.576
2017-08-31,4998860.576
2017-09-01,5000110.576
2017-09-04,4998910.576
2017-09-05,4998425.033
2017-09-06,4998425.033
2017-09-07,4998425.033
2017-09-08,4998425.033
2017-09-11,4998425.033
2017-09-12,4998425.033
2017-09-13,4998425.033
2017-09-14,4998425.033
2017-09-15,4998425.033
2017-09-18,4998739.404
2017-09-19,4995753.827
2017-09-20,4995753.827
2017-09-21,4995753.827
2017-09-22,4995753.827
2017-09-25,4995753.827
2017-09-26,4995753.827
2017-09-27,4995753.827
2017-09-28,4995753.827
2017-09-29,4995753.827
2017-09-30,4995753.827
2017-10-02,4995753.827
2017-10-03,4995753.827
2017-10-05,4995753.827
2017-10-06,4995318.295
2017-10-11,5000768.295
2017-10-12,5003968.295
2017-10-13,5004668.295
2017-10-16,5006968.295
2017-10-17,5005132.574
2017-10-18,5005132.574
2017-10-19,5005132.574
2017-10-20,5005132.574
2017-10-23,5005132.574
2017-10-24,5005132.574
2017-10-25,5005132.574
2017-10-26,5005132.574
2017-10-27,5002861.064
2017-10-30,5002861.064
2017-10-31,5002975.284
2017-11-01,5004275.284
2017-11-02,5002875.284
2017-11-03,5002839.503
2017-11-06,5002839.503
2017-11-07,5002839.503
2017-11-08,5001603.675
2017-11-09,4997553.675
2017-11-10,4996382.246
2017-11-13,4998132.246
2017-11-14,4998646.564
2017-11-15,4998646.564
2017-11-16,4998646.564
2017-11-17,4998646.564
2017-11-20,4998646.564
2017-11-21,4998646.564
2017-11-22,4998646.564
2017-11-23,4998646.564
2017-11-24,4998646.564
2017-11-27,4993824.927
2017-11-28,4993824.927
2017-11-29,4993824.927
2017-11-30,4993824.927
2017-12-01,4993824.927
2017-12-04,4993824.927
2017-12-05,4993824.927
2017-12-06,4993824.927
2017-12-07,4993824.927
2017-12-08,4993824.927
2017-12-11,4993824.927
2017-12-12,4993824.927
2017-12-13,4993824.927
2017-12-14,4993824.927
2017-12-15,4993824.927
2017-12-18,4993824.927
