,equity
2017-07-03,5000000.0
2017-07-04,5000000.0
2017-07-05,5000000.0
2017-07-06,5000000.0
2017-07-07,5000000.0
2017-07-10,5000000.0
2017-07-11,5000000.0
2017-07-12,4987531.706
2017-07-13,5023981.706
2017-07-14,5016331.706
2017-07-17,5031181.706
2017-07-18,5042562.548
2017-07-19,5042562.548
2017-07-20,5042562.548
2017-07-21,5042562.548
2017-07-24,5042562.548
2017-07-25,5042562.548
2017-07-26,5004893.84
2017-07-27,5004125.888
2017-07-28,5004125.888
2017-07-31,5004125.888
2017-08-01,5004125.888
2017-08-02,5004125.888
2017-08-03,5004125.888
2017-08-04,4996156.784
2017-08-07,5036656.784
2017-08-08,5035306.784
2017-08-09,5007537.599
2017-08-10,5007537.599
2017-08-11,5007537.599
2017-08-14,5007537.599
2017-08-15,5007537.599
2017-08-16,5007537.599
2017-08-17,5007537.599
2017-08-18,4990120.61
2017-08-21,4983503.153
2017-08-22,4983503.153
2017-08-23,4983503.153
2017-08-24,4983503.153
2017-08-25,4992183.95
2017-08-28,4993533.95
2017-08-29,4976564.873
2017-08-30,4980745.184
2017-08-31,4989745.184
2017-09-01,5000995.184
2017-09-04,4990195.184
2017-09-05,4985825.297
2017-09-06,4985825.297
2017-09-07,4985825.297
2017-09-08,4985825.297
2017-09-11,4985825.297
2017-09-12,4985825.297
2017-09-13,4985825.297
2017-09-14,4985825.297
2017-09-15,4985825.297
2017-09-18,4988654.636
2017-09-19,4961784.443
2017-09-20,4961784.443
2017-09-21,4961784.443
2017-09-22,4961784.443
2017-09-25,4961784.443
2017-09-26,4961784.443
2017-09-27,4961784.443
2017-09-28,4961784.443
2017-09-29,4961784.443
2017-09-30,4961784.443
2017-10-02,4961784.443
2017-10-03,4961784.443
2017-10-05,4961784.443
2017-10-06,4957864.655
2017-10-11,5006914.655
2017-10-12,5035714.655
2017-10-13,5042014.655
2017-10-16,5062714.655
2017-10-17,5046193.166
2017-10-18,5046193.166
2017-10-19,5046193.166
2017-10-20,5046193.166
2017-10-23,5046193.166
2017-10-24,5046193.166
2017-10-25,5046193.166
2017-10-26,5046193.166
2017-10-27,5025749.576
2017-10-30,5025749.576
2017-10-31,5026777.556
2017-11-01,5038477.556
2017-11-02,5025877.556
2017-11-03,5025555.527
2017-11-06,5025555.527
2017-11-07,5025555.527
2017-11-08,5014433.075
2017-11-09,4977983.075
2017-11-10,4967440.214
2017-11-13,4983190.214
2017-11-14,4987819.076
2017-11-15,4987819.076
2017-11-16,4987819.076
2017-11-17,4987819.076
2017-11-20,4987819.076
2017-11-21,4987819.076
2017-11-22,4987819.076
2017-11-23,4987819.076
2017-11-24,4987819.076
2017-11-27,4944424.343
2017-11-28,4944424.343
2017-11-29,4944424.343
2017-11-30,4944424.343
2017-12-01,4944424.343
2017-12-04,4944424.343
2017-12-05,4944424.343
2017-12-06,4944424.343
2017-12-07,4944424.343
2017-12-08,4944424.343
2017-12-11,4944424.343
2017-12-12,4944424.343
2017-12-13,4944424.343
2017-12-14,4944424.343
2017-12-15,4944424.343
2017-12-18,4944424.343
