entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2017-07-12T09:45:00.000000000,10368.0,1,9,5000000.0,1.0,2017-07-18T13:35:00.000000000,10460.0,roll_blackout,40762.548,637.452,2700.0,366
2017-07-26T09:45:00.000000000,10414.0,1,9,5040762.548,1.0,2017-07-26T15:00:00.000000000,10326.0,signal_exit,-40236.66,636.6600000000001,2700.0,0
2017-08-04T12:45:00.000000000,10458.0,1,9,5000525.888,1.0,2017-08-09T10:45:00.000000000,10463.0,signal_exit,1611.7110000000002,638.289,2700.0,304
2017-08-18T04:00:00.000000000,10219.0,-1,9,5002137.598999999,1.0,2017-08-19T01:00:00.000000000,10275.0,signal_exit,-25834.446,634.4459999999999,2700.0,18
2017-08-24T16:00:00.000000000,10469.0,1,9,4976303.153,1.0,2017-08-29T10:45:00.000000000,10451.0,signal_exit,-8738.279999999999,638.28,2700.0,205
2017-08-30T09:45:00.000000000,10523.0,1,9,4967564.873,1.0,2017-09-04T15:00:00.000000000,10541.0,signal_exit,7460.424,639.576,2700.0,254
2017-09-18T10:45:00.000000000,10631.0,1,9,4975025.296999999,1.0,2017-09-19T13:35:00.000000000,10575.0,roll_blackout,-25840.854,640.854,2700.0,119
2017-10-06T00:00:00.000000000,10534.0,1,9,4949184.443,1.0,2017-10-17T13:35:00.000000000,10719.0,roll_blackout,82608.723,641.277,2700.0,673
2017-10-27T09:45:00.000000000,10779.0,1,9,5031793.166,1.0,2017-10-27T12:45:00.000000000,10731.0,signal_exit,-22243.59,643.59,2700.0,0
2017-10-31T11:45:00.000000000,10782.0,1,9,5009549.576,1.0,2017-11-02T16:00:00.000000000,10779.0,signal_exit,-1994.049,644.049,2700.0,169
2017-11-07T15:00:00.000000000,10830.0,1,9,5007555.527000001,1.0,2017-11-09T15:00:00.000000000,10730.0,signal_exit,-45644.04,644.04,2700.0,215
2017-11-09T21:00:00.000000000,10695.0,-1,9,4961911.487000001,1.0,2017-11-14T13:35:00.000000000,10684.0,roll_blackout,4307.589,642.411,2700.0,156
