,equity
2017-07-03,5000000.0
2017-07-04,5000000.0
2017-07-05,5000000.0
2017-07-06,5000000.0
2017-07-07,5000000.0
2017-07-10,5000000.0
2017-07-11,5000000.0
2017-07-12,4998614.634
2017-07-13,5002664.634
2017-07-14,5001814.634
2017-07-17,5003464.634
2017-07-18,5004729.172
2017-07-19,5004729.172
2017-07-20,5004729.172
2017-07-21,5004729.172
2017-07-24,5004729.172
2017-07-25,5004729.172
2017-07-26,5000543.76
2017-07-27,5000458.432
2017-07-28,5000458.432
2017-07-31,5000458.432
2017-08-01,5000458.432
2017-08-02,5000458.432
2017-08-03,5000458.432
2017-08-04,4999572.976
2017-08-07,5004072.976
2017-08-08,5003922.976
2017-08-09,5000837.511
2017-08-10,5000837.511
2017-08-11,5000837.511
2017-08-14,5000837.511
2017-08-15,5000837.511
2017-08-16,5000837.511
2017-08-17,5000837.511
2017-08-18,5000837.511
2017-08-21,5000837.511
2017-08-22,5000837.511
2017-08-23,5000837.511
2017-08-24,5000837.511
2017-08-25,5001802.044
2017-08-28,5001952.044
2017-08-29,5000066.591
2017-08-30,5000531.07
2017-08-31,5001531.07
2017-09-01,5002781.07
2017-09-04,5001581.07
2017-09-05,5001095.527
2017-09-06,5001095.527
2017-09-07,5001095.527
2017-09-08,5001095.527
2017-09-11,5001095.527
2017-09-12,5001095.527
2017-09-13,5001095.527
2017-09-14,5001095.527
2017-09-15,5001095.527
2017-09-18,5001409.898
2017-09-19,4998424.321
2017-09-20,4998424.321
2017-09-21,4998424.321
2017-09-22,4998424.321
2017-09-25,4998424.321
2017-09-26,4998424.321
2017-09-27,4998424.321
2017-09-28,4998424.321
2017-09-29,4998424.321
2017-09-30,4998424.321
2017-10-02,4998424.321
2017-10-03,4998424.321
2017-10-05,4998424.321
2017-10-06,4997988.789
2017-10-11,5003438.789
2017-10-12,5006638.789
2017-10-13,5007338.789
2017-10-16,5009638.789
2017-10-17,5007803.068
2017-10-18,5007803.068
2017-10-19,5007803.068
2017-10-20,5007803.068
2017-10-23,5007803.068
2017-10-24,5007803.068
2017-10-25,5007803.068
2017-10-26,5007803.068
2017-10-27,5005531.558
2017-10-30,5005531.558
2017-10-31,5005645.778
2017-11-01,5006945.778
2017-11-02,5005545.778
2017-11-03,5005509.997
2017-11-06,5005509.997
2017-11-07,5005509.997
2017-11-08,5004274.169
2017-11-09,5000224.169
2017-11-10,5000638.437
2017-11-13,5000638.437
2017-11-14,5000638.437
2017-11-15,5000638.437
2017-11-16,5000638.437
2017-11-17,5000638.437
2017-11-20,5000638.437
2017-11-21,5000638.437
2017-11-22,5000638.437
2017-11-23,5000638.437
2017-11-24,5000638.437
2017-11-27,4995816.8
2017-11-28,4995816.8
2017-11-29,4995816.8
2017-11-30,4995816.8
2017-12-01,4995816.8
2017-12-04,4995816.8
2017-12-05,4995816.8
2017-12-06,4995816.8
2017-12-07,4995816.8
2017-12-08,4995816.8
2017-12-11,4995816.8
2017-12-12,4995816.8
2017-12-13,4995816.8
2017-12-14,4995816.8
2017-12-15,4995816.8
2017-12-18,4995816.8
