,equity
2017-07-03,5000000.0
2017-07-04,5000000.0
2017-07-05,5000000.0
2017-07-06,5000000.0
2017-07-07,5000000.0
2017-07-10,5000000.0
2017-07-11,5000000.0
2017-07-12,4987531.706
2017-07-13,5023981.706
2017-07-14,5016331.706
2017-07-17,5031181.706
2017-07-18,5042562.548
2017-07-19,5042562.548
2017-07-20,5042562.548
2017-07-21,5042562.548
2017-07-24,5042562.548
2017-07-25,5042562.548
2017-07-26,5004893.84
2017-07-27,5004125.888
2017-07-28,5004125.888
2017-07-31,5004125.888
2017-08-01,5004125.888
2017-08-02,5004125.888
2017-08-03,5004125.888
2017-08-04,4996156.784
2017-08-07,5036656.784
2017-08-08,5035306.784
2017-08-09,5007537.599
2017-08-10,5007537.599
2017-08-11,5007537.599
2017-08-14,5007537.599
2017-08-15,5007537.599
2017-08-16,5007537.599
2017-08-17,5007537.599
2017-08-18,5007537.599
2017-08-21,5007537.599
2017-08-22,5007537.599
2017-08-23,5007537.599
2017-08-24,5007537.599
2017-08-25,5016218.396
2017-08-28,5017568.396
2017-08-29,5000599.319
2017-08-30,5004779.63
2017-08-31,5013779.63
2017-09-01,5025029.63
2017-09-04,5014229.63
2017-09-05,5009859.743
2017-09-06,5009859.743
2017-09-07,5009859.743
2017-09-08,5009859.743
2017-09-11,5009859.743
2017-09-12,5009859.743
2017-09-13,5009859.743
2017-09-14,5009859.743
2017-09-15,5009859.743
2017-09-18,5012689.082
2017-09-19,4985818.889
2017-09-20,4985818.889
2017-09-21,4985818.889
2017-09-22,4985818.889
2017-09-25,4985818.889
2017-09-26,4985818.889
2017-09-27,4985818.889
2017-09-28,4985818.889
2017-09-29,4985818.889
2017-09-30,4985818.889
2017-10-02,4985818.889
2017-10-03,4985818.889
2017-10-05,4985818.889
2017-10-06,4981899.101
2017-10-11,5030949.101
2017-10-12,5059749.101
2017-10-13,5066049.101
2017-10-16,5086749.101
2017-10-17,5070227.612
2017-10-18,5070227.612
2017-10-19,5070227.612
2017-10-20,5070227.612
2017-10-23,5070227.612
2017-10-24,5070227.612
2017-10-25,5070227.612
2017-10-26,5070227.612
2017-10-27,5049784.022
2017-10-30,5049784.022
2017-10-31,5050812.002
2017-11-01,5062512.002
2017-11-02,5049912.002
2017-11-03,5049589.973
2017-11-06,5049589.973
2017-11-07,5049589.973
2017-11-08,5038467.521
2017-11-09,5002017.521
2017-11-10,5005745.933
2017-11-13,5005745.933
2017-11-14,5005745.933
2017-11-15,5005745.933
2017-11-16,5005745.933
2017-11-17,5005745.933
2017-11-20,5005745.933
2017-11-21,5005745.933
2017-11-22,5005745.933
2017-11-23,5005745.933
2017-11-24,5005745.933
2017-11-27,4962351.2
2017-11-28,4962351.2
2017-11-29,4962351.2
2017-11-30,4962351.2
2017-12-01,4962351.2
2017-12-04,4962351.2
2017-12-05,4962351.2
2017-12-06,4962351.2
2017-12-07,4962351.2
2017-12-08,4962351.2
2017-12-11,4962351.2
2017-12-12,4962351.2
2017-12-13,4962351.2
2017-12-14,4962351.2
2017-12-15,4962351.2
2017-12-18,4962351.2
