,equity
2021-01-04,5038461.53
2021-01-05,5069361.53
2021-01-06,5049561.53
2021-01-07,5145261.53
2021-01-08,5212461.53
2021-01-11,5236461.53
2021-01-12,5224161.53
2021-01-13,5305461.53
2021-01-14,5294961.53
2021-01-15,5266461.53
2021-01-18,5287217.306
2021-01-19,5287217.306
2021-01-20,5287217.306
2021-01-21,5301970.832
2021-01-22,5258470.832
2021-01-25,5227325.546
2021-01-26,5227325.546
2021-01-27,5227325.546
2021-01-28,5256782.654
2021-01-29,5349182.654
2021-02-01,5263682.654
2021-02-02,5250540.2360000005
2021-02-03,5250540.2360000005
2021-02-04,5250540.2360000005
2021-02-05,5250540.2360000005
2021-02-17,5250540.2360000005
2021-02-18,5250540.2360000005
2021-02-19,5250540.2360000005
2021-02-22,5250540.2360000005
2021-02-23,5250540.2360000005
2021-02-24,5250540.2360000005
2021-02-25,5250540.2360000005
2021-02-26,5250540.2360000005
2021-03-02,5250540.2360000005
2021-03-03,5250540.2360000005
2021-03-04,5250540.2360000005
2021-03-05,5250540.2360000005
2021-03-08,5250540.2360000005
2021-03-09,5250540.2360000005
2021-03-10,5250540.2360000005
2021-03-11,5250540.2360000005
2021-03-12,5250540.2360000005
2021-03-15,5250540.2360000005
2021-03-16,5244344.45
2021-03-17,5244344.45
2021-03-18,5244344.45
2021-03-19,5244344.45
2021-03-22,5244344.45
2021-03-23,5244344.45
2021-03-24,5244344.45
2021-03-25,5244344.45
2021-03-26,5244344.45
2021-03-29,5244344.45
2021-03-30,5242595.306
2021-03-31,5213495.306
2021-04-01,5210246.834
2021-04-06,5251097.27
2021-04-07,5262197.27
2021-04-08,5310797.27
2021-04-09,5284097.27
2021-04-12,5281997.27
2021-04-13,5284746.206
2021-04-14,5284746.206
2021-04-15,5284746.206
2021-04-16,5284746.206
2021-04-19,5284746.206
2021-04-20,5284746.206
2021-04-21,5284746.206
2021-04-22,5219992.262
2021-04-23,5215539.692
2021-04-26,5215539.692
2021-04-27,5215539.692
2021-04-28,5215539.692
2021-04-29,5212076.772
2021-05-03,5149365.167
2021-05-04,5149365.167
2021-05-05,5149365.167
2021-05-06,5149365.167
2021-05-07,5149365.167
2021-05-10,5149365.167
2021-05-11,5149365.167
