,equity
2021-01-04,5006310.253
2021-01-05,5011460.253
2021-01-06,5008160.253
2021-01-07,5024110.253
2021-01-08,5035310.253
2021-01-11,5039310.253
2021-01-12,5037260.253
2021-01-13,5050810.253
2021-01-14,5049060.253
2021-01-15,5044310.253
2021-01-18,5047669.551
2021-01-19,5047669.551
2021-01-20,5047669.551
2021-01-21,5050028.47
2021-01-22,5042778.47
2021-01-25,5037487.591
2021-01-26,5037487.591
2021-01-27,5037487.591
2021-01-28,5042297.111
2021-01-29,5057697.111
2021-02-01,5043447.111
2021-02-02,5041156.706
2021-02-03,5041156.706
2021-02-04,5041156.706
2021-02-05,5041156.706
2021-02-17,5041156.706
2021-02-18,5041156.706
2021-02-19,5041156.706
2021-02-22,5041156.706
2021-02-23,5041156.706
2021-02-24,5041156.706
2021-02-25,5041156.706
2021-02-26,5041156.706
2021-03-02,5041156.706
2021-03-03,5041156.706
2021-03-04,5041156.706
2021-03-05,5041156.706
2021-03-08,5041156.706
2021-03-09,5041156.706
2021-03-10,5041156.706
2021-03-11,5041156.706
2021-03-12,5041156.706
2021-03-15,5041156.706
2021-03-16,5039924.075
2021-03-17,5039924.075
2021-03-18,5039924.075
2021-03-19,5039924.075
2021-03-22,5039924.075
2021-03-23,5039924.075
2021-03-24,5039924.075
2021-03-25,5039924.075
2021-03-26,5039924.075
2021-03-29,5039924.075
2021-03-30,5039532.549
2021-03-31,5034682.549
2021-04-01,5034041.139
2021-04-06,5040749.543
2021-04-07,5042599.543
2021-04-08,5050699.543
2021-04-09,5046249.543
2021-04-12,5045899.543
2021-04-13,5046257.701
2021-04-14,5046257.701
2021-04-15,5046257.701
2021-04-16,5046257.701
2021-04-19,5046257.701
2021-04-20,5046257.701
2021-04-21,5046257.701
2021-04-22,5035365.375
2021-04-23,5034523.282
2021-04-26,5034523.282
2021-04-27,5034523.282
2021-04-28,5034523.282
2021-04-29,5033730.696
2021-05-03,5021088.377
2021-05-04,5021088.377
2021-05-05,5021088.377
2021-05-06,5021088.377
2021-05-07,5021088.377
2021-05-10,5021088.377
2021-05-11,5021088.377
2021-05-12,5021088.377
2021-05-13,5021088.377
2021-05-14,5021088.377
2021-05-17,5021088.377
2021-05-18,5021088.377
2021-05-19,5021088.377
2021-05-20,5021088.377
2021-05-21,5021088.377
2021-05-24,5021088.377
2021-05-25,5021088.377
2021-05-26,5021088.377
2021-05-27,5021088.377
2021-05-28,5026446.622
2021-05-31,5033946.622
2021-06-01,5039796.622
2021-06-02,5038196.622
2021-06-03,5044796.622
2021-06-04,5039254.502
2021-06-07,5039254.502
2021-06-08,5039254.502
2021-06-09,5039254.502
