entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2021-01-04T09:45:00.000000000,14747.0,1,1,5000000.0,1.0,2021-01-15T20:00:00.000000000,15702.0,signal_exit,47669.551,80.449,300.0,48
2021-01-21T10:45:00.000000000,16081.0,1,1,5047669.551,1.0,2021-01-22T17:00:00.000000000,15879.0,signal_exit,-10181.96,81.96000000000001,300.0,11
2021-01-27T23:00:00.000000000,15480.0,-1,1,5037487.591,1.0,2021-02-01T18:00:00.000000000,15405.0,signal_exit,3669.115,80.885,300.0,0
2021-03-16T11:45:00.000000000,16327.0,1,1,5041156.706,1.0,2021-03-16T13:35:00.000000000,16304.0,roll_blackout,-1232.631,82.631,300.0,0
2021-03-30T10:45:00.000000000,16526.0,1,1,5039924.075,1.0,2021-03-31T15:00:00.000000000,16410.0,signal_exit,-5882.936000000001,82.93599999999999,300.0,14
2021-04-01T16:00:00.000000000,16596.0,1,1,5034041.139,1.0,2021-04-12T15:00:00.000000000,16842.0,signal_exit,12216.562,83.438,300.0,100
2021-04-22T09:45:00.000000000,17326.0,1,1,5046257.701,1.0,2021-04-22T15:00:00.000000000,17093.0,signal_exit,-11734.419000000002,84.419,300.0,0
2021-04-29T03:00:00.000000000,17586.0,1,1,5034523.282000001,1.0,2021-05-03T10:45:00.000000000,17319.0,signal_exit,-13434.905,84.905,300.0,14
2021-05-28T09:45:00.000000000,16755.0,1,1,5021088.377,1.0,2021-06-03T21:00:00.000000000,17120.0,signal_exit,18166.125,83.87500000000001,300.0,49
2021-06-10T21:00:00.000000000,17182.0,1,1,5039254.502,1.0,2021-06-15T13:35:00.000000000,17388.0,roll_blackout,10215.43,84.57000000000001,300.0,23
2021-06-25T09:45:00.000000000,17529.0,1,1,5049469.932,1.0,2021-07-02T01:00:00.000000000,17583.0,signal_exit,2614.8880000000004,85.112,300.0,60
2021-07-05T09:45:00.000000000,17845.0,1,1,5052084.82,1.0,2021-07-07T15:00:00.000000000,17840.0,signal_exit,-335.685,85.685,300.0,49
2021-07-15T09:45:00.000000000,17961.0,1,1,5051749.135000001,1.0,2021-07-16T00:00:00.000000000,17882.0,signal_exit,-4035.843,85.843,300.0,0
2021-07-19T22:00:00.000000000,17615.0,-1,1,5047713.292,1.0,2021-07-20T13:35:00.000000000,17544.0,roll_blackout,3464.8410000000003,85.15899999999999,300.0,0
2021-07-26T11:45:00.000000000,17277.0,-1,1,5051178.133,1.0,2021-07-29T11:45:00.000000000,17212.0,signal_exit,3165.511,84.489,300.0,9
2021-08-04T03:00:00.000000000,17506.0,1,1,5054343.644,1.0,2021-08-05T20:00:00.000000000,17483.0,signal_exit,-1234.989,84.989,300.0,24
2021-08-13T09:45:00.000000000,17029.0,-1,1,5053108.655,1.0,2021-08-17T13:35:00.000000000,16621.0,roll_blackout,20316.35,83.64999999999999,300.0,19
2021-08-30T15:00:00.000000000,17338.0,1,1,5073425.005,1.0,2021-09-02T12:45:00.000000000,17316.0,signal_exit,-1184.654,84.65400000000001,300.0,61
