,equity
2021-01-04,5006410.255
2021-01-05,5011560.255
2021-01-06,5008260.255
2021-01-07,5024210.255
2021-01-08,5035410.255
2021-01-11,5039410.255
2021-01-12,5037360.255
2021-01-13,5050910.255
2021-01-14,5049160.255
2021-01-15,5044410.255
2021-01-18,5047869.551
2021-01-19,5047869.551
2021-01-20,5047869.551
2021-01-21,5050328.472
2021-01-22,5043078.472
2021-01-25,5037887.591
2021-01-26,5037887.591
2021-01-27,5037887.591
2021-01-28,5037887.591
2021-01-29,5037887.591
2021-02-01,5037887.591
2021-02-02,5037887.591
2021-02-03,5037887.591
2021-02-04,5037887.591
2021-02-05,5037887.591
2021-02-17,5037887.591
2021-02-18,5037887.591
2021-02-19,5037887.591
2021-02-22,5037887.591
2021-02-23,5037887.591
2021-02-24,5037887.591
2021-02-25,5037887.591
2021-02-26,5037887.591
2021-03-02,5037887.591
2021-03-03,5037887.591
2021-03-04,5037887.591
2021-03-05,5037887.591
2021-03-08,5037887.591
2021-03-09,5037887.591
2021-03-10,5037887.591
2021-03-11,5037887.591
2021-03-12,5037887.591
2021-03-15,5037887.591
2021-03-16,5036854.96
2021-03-17,5036854.96
2021-03-18,5036854.96
2021-03-19,5036854.96
2021-03-22,5036854.96
2021-03-23,5036854.96
2021-03-24,5036854.96
2021-03-25,5036854.96
2021-03-26,5036854.96
2021-03-29,5036854.96
2021-03-30,5036563.436
2021-03-31,5031713.436
2021-04-01,5031172.024
2021-04-06,5037980.43
2021-04-07,5039830.43
2021-04-08,5047930.43
2021-04-09,5043480.43
2021-04-12,5043130.43
2021-04-13,5043588.586
2021-04-14,5043588.586
2021-04-15,5043588.586
2021-04-16,5043588.586
2021-04-19,5043588.586
2021-04-20,5043588.586
2021-04-21,5043588.586
2021-04-22,5032796.262
2021-04-23,5032054.167
2021-04-26,5032054.167
2021-04-27,5032054.167
2021-04-28,5032054.167
2021-04-29,5031361.583
2021-05-03,5018819.262
2021-05-04,5018819.262
2021-05-05,5018819.262
2021-05-06,5018819.262
2021-05-07,5018819.262
2021-05-10,5018819.262
2021-05-11,5018819.262
2021-05-12,5018819.262
2021-05-13,5018819.262
2021-05-14,5018819.262
2021-05-17,5018819.262
2021-05-18,5018819.262
2021-05-19,5018819.262
2021-05-20,5018819.262
2021-05-21,5018819.262
2021-05-24,5018819.262
2021-05-25,5018819.262
2021-05-26,5018819.262
2021-05-27,5018819.262
2021-05-28,5024277.509
2021-05-31,5031777.509
2021-06-01,5037627.509
2021-06-02,5036027.509
2021-06-03,5042627.509
2021-06-04,5037185.387
2021-06-07,5037185.387
2021-06-08,5037185.387
2021-06-09,5037185.387
2021-06-10,5037185.387
2021-06-11,5039093.207
2021-06-15,5047600.817
2021-06-16,5047600.817
2021-06-17,5047600.817
2021-06-18,5047600.817
2021-06-21,5047600.817
2021-06-22,5047600.817
2021-06-23,5047600.817
2021-06-24,5047600.817
2021-06-25,5042158.29
2021-06-28,5047958.29
2021-06-29,5047658.29
2021-06-30,5056958.29
2021-07-01,5053508.29
2021-07-02,5050415.705
2021-07-05,5053122.862
2021-07-06,5052122.862
2021-07-07,5049722.862
2021-07-08,5050280.02
2021-07-09,5050280.02
2021-07-12,5050280.02
2021-07-13,5050280.02
2021-07-14,5050280.02
2021-07-15,5053387.061
2021-07-16,5046444.177
2021-07-19,5046444.177
2021-07-20,5046444.177
2021-07-21,5046444.177
2021-07-22,5046444.177
2021-07-23,5046444.177
2021-07-26,5046444.177
2021-07-27,5046444.177
2021-07-28,5046444.177
2021-07-29,5046444.177
2021-07-30,5046444.177
2021-08-02,5046444.177
2021-08-03,5046444.177
2021-08-04,5049751.673
2021-08-05,5048301.673
2021-08-06,5045409.188
2021-08-09,5045409.188
2021-08-10,5045409.188
2021-08-11,5045409.188
2021-08-12,5045409.188
2021-08-13,5045409.188
2021-08-16,5045409.188
2021-08-17,5045409.188
2021-08-18,5045409.188
2021-08-19,5045409.188
2021-08-20,5045409.188
2021-08-23,5045409.188
2021-08-24,5045409.188
2021-08-25,5045409.188
2021-08-26,5045409.188
2021-08-27,5045409.188
2021-08-30,5045409.188
2021-08-31,5051416.852
2021-09-01,5052366.852
2021-09-02,5044424.534
2021-09-03,5044424.534
2021-09-06,5044424.534
2021-09-07,5044424.534
2021-09-08,5044424.534
2021-09-09,5044424.534
2021-09-10,5044424.534
2021-09-13,5044424.534
2021-09-14,5044424.534
2021-09-15,5044424.534
2021-09-16,5044424.534
2021-09-17,5044424.534
2021-09-22,5044424.534
2021-09-23,5044424.534
2021-09-24,5044424.534
2021-09-27,5044424.534
2021-09-28,5044424.534
2021-09-29,5044424.534
2021-09-30,5044424.534
2021-10-01,5044424.534
2021-10-04,5044424.534
2021-10-05,5044424.534
2021-10-06,5044424.534
2021-10-07,5044424.534
2021-10-08,5044424.534
2021-10-12,5044424.534
2021-10-13,5044424.534
2021-10-14,5044424.534
2021-10-15,5044424.534
2021-10-18,5044424.534
2021-10-19,5045290.741
2021-10-20,5045290.741
2021-10-21,5036698.757
2021-10-22,5036456.948
2021-10-25,5036456.948
2021-10-26,5036456.948
2021-10-27,5036456.948
