entry_time,entry,side,contracts,entry_nav,entry_budget_multiplier,exit_time,exit,reason,net_ntd,fees_ntd,slippage_ntd,gap_observations
2021-01-04T09:45:00.000000000,14747.0,1,1,5000000.0,1.0,2021-01-15T20:00:00.000000000,15702.0,signal_exit,47669.551,80.449,300.0,48
2021-01-21T10:45:00.000000000,16081.0,1,1,5047669.551,1.0,2021-01-22T17:00:00.000000000,15879.0,signal_exit,-10181.96,81.96000000000001,300.0,11
2021-03-16T11:45:00.000000000,16327.0,1,1,5037487.591,1.0,2021-03-16T13:35:00.000000000,16304.0,roll_blackout,-1232.6309999999999,82.631,300.0,0
2021-03-30T10:45:00.000000000,16526.0,1,1,5036254.96,1.0,2021-03-31T15:00:00.000000000,16410.0,signal_exit,-5882.936000000001,82.93599999999999,300.0,14
2021-04-01T16:00:00.000000000,16596.0,1,1,5030372.024,1.0,2021-04-12T15:00:00.000000000,16842.0,signal_exit,12216.562,83.438,300.0,100
2021-04-22T09:45:00.000000000,17326.0,1,1,5042588.586,1.0,2021-04-22T15:00:00.000000000,17093.0,signal_exit,-11734.419000000002,84.419,300.0,0
2021-04-29T03:00:00.000000000,17586.0,1,1,5030854.167,1.0,2021-05-03T10:45:00.000000000,17319.0,signal_exit,-13434.904999999999,84.905,300.0,14
2021-05-28T09:45:00.000000000,16755.0,1,1,5017419.262,1.0,2021-06-03T21:00:00.000000000,17120.0,signal_exit,18166.125,83.87500000000001,300.0,49
2021-06-10T21:00:00.000000000,17182.0,1,1,5035585.387,1.0,2021-06-15T13:35:00.000000000,17388.0,roll_blackout,10215.43,84.57000000000001,300.0,23
2021-06-25T09:45:00.000000000,17529.0,1,1,5045800.817,1.0,2021-07-02T01:00:00.000000000,17583.0,signal_exit,2614.8880000000004,85.112,300.0,60
2021-07-05T09:45:00.000000000,17845.0,1,1,5048415.705,1.0,2021-07-07T15:00:00.000000000,17840.0,signal_exit,-335.685,85.685,300.0,49
2021-07-15T09:45:00.000000000,17961.0,1,1,5048080.0200000005,1.0,2021-07-16T00:00:00.000000000,17882.0,signal_exit,-4035.843,85.843,300.0,0
2021-08-04T03:00:00.000000000,17506.0,1,1,5044044.177,1.0,2021-08-05T20:00:00.000000000,17483.0,signal_exit,-1234.989,84.989,300.0,24
2021-08-30T15:00:00.000000000,17338.0,1,1,5042809.188,1.0,2021-09-02T12:45:00.000000000,17316.0,signal_exit,-1184.654,84.65400000000001,300.0,61
2021-10-19T09:45:00.000000000,16889.0,1,1,5041624.534,1.0,2021-10-19T13:35:00.000000000,16904.0,roll_blackout,666.207,83.79299999999999,300.0,0
2021-10-21T09:45:00.000000000,16986.0,1,1,5042290.741,1.0,2021-10-21T15:00:00.000000000,16807.0,signal_exit,-9033.793,83.793,300.0,0
2021-10-27T15:00:00.000000000,17073.0,1,1,5033256.948000001,1.0,2021-10-29T10:45:00.000000000,16937.0,signal_exit,-6884.010000000001,84.00999999999999,300.0,29
2021-11-04T03:00:00.000000000,17181.0,1,1,5026372.938000001,1.0,2021-11-04T15:00:00.000000000,17064.0,signal_exit,-5934.245,84.245,300.0,0
