,equity
2024-01-02,5000000.0
2024-01-03,5000000.0
2024-01-04,5000000.0
2024-01-05,5000000.0
2024-01-08,4995164.953
2024-01-09,4995164.953
2024-01-10,4995164.953
2024-01-11,4995164.953
2024-01-12,4989779.969
2024-01-15,4989779.969
2024-01-16,4989779.969
2024-01-17,4989779.969
2024-01-18,4989779.969
2024-01-19,4989779.969
2024-01-22,4989779.969
2024-01-23,4989779.969
2024-01-24,4989437.06
2024-01-25,4994037.06
2024-01-26,4994237.06
2024-01-29,5000537.06
2024-01-30,4998337.06
2024-01-31,4996544.014
2024-02-01,4996544.014
2024-02-02,4996544.014
2024-02-05,4996544.014
2024-02-15,5000950.436
2024-02-16,4999300.436
2024-02-19,5001150.436
2024-02-20,5004856.69
2024-02-21,5004856.69
2024-02-22,5004856.69
2024-02-23,5004856.69
2024-02-26,5004856.69
2024-02-27,5004856.69
2024-02-29,5004856.69
2024-03-01,5004856.69
2024-03-04,5004856.69
2024-03-05,5004856.69
2024-03-06,5004856.69
2024-03-07,5004856.69
2024-03-08,5004856.69
2024-03-11,5004856.69
2024-03-12,5004856.69
2024-03-13,5004856.69
2024-03-14,5004856.69
2024-03-15,5004856.69
2024-03-18,5004856.69
2024-03-19,5004856.69
2024-03-20,5004856.69
2024-03-21,5004856.69
2024-03-22,5004856.69
2024-03-25,5004856.69
2024-03-26,5004856.69
2024-03-27,5004856.69
2024-03-28,5004856.69
2024-03-29,5005061.415
2024-04-01,5005461.415
2024-04-02,5017211.415
2024-04-03,5008916.057
2024-04-08,5008916.057
2024-04-09,5008916.057
2024-04-10,5008916.057
2024-04-11,5008916.057
2024-04-12,5008916.057
2024-04-15,5008916.057
2024-04-16,5009976.176
2024-04-17,5009976.176
2024-04-18,5009976.176
2024-04-19,5009976.176
2024-04-22,5009976.176
2024-04-23,5009976.176
2024-04-24,5009976.176
2024-04-25,5009976.176
2024-04-26,5009976.176
2024-04-29,5009976.176
2024-04-30,5009976.176
2024-05-02,5009976.176
2024-05-03,5006785.262
2024-05-06,5006785.262
2024-05-07,5006785.262
2024-05-08,5006989.542
2024-05-09,5001339.542
2024-05-10,5003448.189
2024-05-13,5007148.189
2024-05-14,5012852.191
2024-05-15,5012852.191
2024-05-16,5012852.191
2024-05-17,5012852.191
2024-05-20,5012852.191
2024-05-21,5012852.191
2024-05-22,5012852.191
2024-05-23,5012852.191
2024-05-24,5012852.191
2024-05-27,5012852.191
2024-05-28,5012255.226
2024-05-29,5002108.474
2024-05-30,5002108.474
2024-05-31,5002108.474
2024-06-03,5002108.474
2024-06-04,5002108.474
2024-06-05,5002108.474
2024-06-06,5002108.474
2024-06-07,5002108.474
2024-06-11,5002108.474
2024-06-12,5002108.474
2024-06-13,5002108.474
2024-06-14,5002108.474
2024-06-17,5000860.973
2024-06-18,5016313.186
2024-06-19,5016313.186
2024-06-20,5019614.875
2024-06-21,5011214.875
2024-06-24,4997466.939
2024-06-25,4997466.939
2024-06-26,4997466.939
2024-06-27,4997466.939
2024-06-28,4997466.939
2024-07-01,4997466.939
2024-07-02,4997466.939
2024-07-03,5004768.901
2024-07-04,5026718.901
