,equity
2024-01-02,5000000.0
2024-01-03,5000000.0
2024-01-04,5000000.0
2024-01-05,5000000.0
2024-01-08,4975824.765
2024-01-09,4975824.765
2024-01-10,4975824.765
2024-01-11,4975824.765
2024-01-12,4948899.845
2024-01-15,4948899.845
2024-01-16,4948899.845
2024-01-17,4948899.845
2024-01-18,4948899.845
2024-01-19,4948899.845
2024-01-22,4948899.845
2024-01-23,4948899.845
2024-01-24,4947185.3
2024-01-25,4970185.3
2024-01-26,4971185.3
2024-01-29,5002685.3
2024-01-30,4991685.3
2024-01-31,4982720.07
2024-02-01,4982720.07
2024-02-02,4982720.07
2024-02-05,4982720.07
2024-02-15,5004752.18
2024-02-16,4996502.18
2024-02-19,5005752.18
2024-02-20,5024283.45
2024-02-21,5024283.45
2024-02-22,5024283.45
2024-02-23,5024283.45
2024-02-26,5024283.45
2024-02-27,5024283.45
2024-02-29,5024283.45
2024-03-01,5024283.45
2024-03-04,5024283.45
2024-03-05,5024283.45
2024-03-06,5024283.45
2024-03-07,5024283.45
2024-03-08,5024283.45
2024-03-11,5024283.45
2024-03-12,5024283.45
2024-03-13,5024283.45
2024-03-14,5024283.45
2024-03-15,5024283.45
2024-03-18,5024283.45
2024-03-19,5024283.45
2024-03-20,5024283.45
2024-03-21,5024283.45
2024-03-22,5024283.45
2024-03-25,5024283.45
2024-03-26,5024283.45
2024-03-27,5024283.45
2024-03-28,5024283.45
2024-03-29,5025102.35
2024-04-01,5026702.35
2024-04-02,5073702.35
2024-04-03,5040520.918
2024-04-08,5040520.918
2024-04-09,5040520.918
2024-04-10,5040520.918
2024-04-11,5040520.918
2024-04-12,5040520.918
2024-04-15,5040520.918
2024-04-16,5045821.513
2024-04-17,5045821.513
2024-04-18,5045821.513
2024-04-19,5045821.513
2024-04-22,5045821.513
2024-04-23,5045821.513
2024-04-24,5045821.513
2024-04-25,5045821.513
2024-04-26,5045821.513
2024-04-29,5045821.513
2024-04-30,5045821.513
2024-05-02,5045821.513
2024-05-03,5033057.857
2024-05-06,5033057.857
2024-05-07,5033057.857
2024-05-08,5033874.977
2024-05-09,5011274.977
2024-05-10,5019709.565
2024-05-13,5034509.565
2024-05-14,5057325.573
2024-05-15,5057325.573
2024-05-16,5057325.573
2024-05-17,5057325.573
2024-05-20,5057325.573
2024-05-21,5057325.573
2024-05-22,5057325.573
2024-05-23,5057325.573
2024-05-24,5057325.573
2024-05-27,5057325.573
2024-05-28,5054937.713
2024-05-29,5014350.705
2024-05-30,5014350.705
2024-05-31,5014350.705
2024-06-03,5014350.705
2024-06-04,5014350.705
2024-06-05,5014350.705
2024-06-06,5014350.705
2024-06-07,5014350.705
2024-06-11,5014350.705
2024-06-12,5014350.705
2024-06-13,5014350.705
2024-06-14,5014350.705
2024-06-17,5009360.701
2024-06-18,5071169.553
2024-06-19,5071169.553
2024-06-20,5084376.309
2024-06-21,5050776.309
2024-06-24,4995784.565
2024-06-25,4995784.565
2024-06-26,4995784.565
2024-06-27,4995784.565
2024-06-28,4995784.565
2024-07-01,4995784.565
2024-07-02,4995784.565
2024-07-03,5024992.413
2024-07-04,5112792.413
