,equity
2024-01-02,5000000.0
2024-01-03,5000000.0
2024-01-04,5000000.0
2024-01-05,5000000.0
2024-01-08,5000000.0
2024-01-09,5000000.0
2024-01-10,5000000.0
2024-01-11,5000000.0
2024-01-12,5000000.0
2024-01-15,5000000.0
2024-01-16,5000000.0
2024-01-17,5000000.0
2024-01-18,5000000.0
2024-01-19,5000000.0
2024-01-22,5000000.0
2024-01-23,5000000.0
2024-01-24,4997785.445
2024-01-25,5020785.445
2024-01-26,5021785.445
2024-01-29,5053285.445
2024-01-30,5042285.445
2024-01-31,5032820.225
2024-02-01,5032820.225
2024-02-02,5032820.225
2024-02-05,5032820.225
2024-02-15,5054352.325
2024-02-16,5046102.325
2024-02-19,5055352.325
2024-02-20,5073383.605
2024-02-21,5073383.605
2024-02-22,5073383.605
2024-02-23,5073383.605
2024-02-26,5073383.605
2024-02-27,5073383.605
2024-02-29,5073383.605
2024-03-01,5073383.605
2024-03-04,5073383.605
2024-03-05,5073383.605
2024-03-06,5073383.605
2024-03-07,5073383.605
2024-03-08,5073383.605
2024-03-11,5073383.605
2024-03-12,5073383.605
2024-03-13,5073383.605
2024-03-14,5073383.605
2024-03-15,5073383.605
2024-03-18,5073383.605
2024-03-19,5073383.605
2024-03-20,5073383.605
2024-03-21,5073383.605
2024-03-22,5073383.605
2024-03-25,5073383.605
2024-03-26,5073383.605
2024-03-27,5073383.605
2024-03-28,5073383.605
2024-03-29,5073907.22
2024-04-01,5075907.22
2024-04-02,5134657.22
2024-04-03,5092680.44
2024-04-08,5092680.44
2024-04-09,5092680.44
2024-04-10,5092680.44
2024-04-11,5092680.44
2024-04-12,5092680.44
2024-04-15,5092680.44
2024-04-16,5092680.44
2024-04-17,5092680.44
2024-04-18,5092680.44
2024-04-19,5092680.44
2024-04-22,5092680.44
2024-04-23,5092680.44
2024-04-24,5092680.44
2024-04-25,5092680.44
2024-04-26,5092680.44
2024-04-29,5092680.44
2024-04-30,5092680.44
2024-05-02,5092680.44
2024-05-03,5079116.784
2024-05-06,5079116.784
2024-05-07,5079116.784
2024-05-08,5079533.896
2024-05-09,5056933.896
2024-05-10,5064568.484
2024-05-13,5079368.484
2024-05-14,5101784.5
2024-05-15,5101784.5
2024-05-16,5101784.5
2024-05-17,5101784.5
2024-05-20,5101784.5
2024-05-21,5101784.5
2024-05-22,5101784.5
2024-05-23,5101784.5
2024-05-24,5101784.5
2024-05-27,5101784.5
2024-05-28,5098996.632
2024-05-29,5058009.632
2024-05-30,5058009.632
2024-05-31,5058009.632
2024-06-03,5058009.632
2024-06-04,5058009.632
2024-06-05,5058009.632
2024-06-06,5058009.632
2024-06-07,5058009.632
2024-06-11,5058009.632
2024-06-12,5058009.632
2024-06-13,5058009.632
2024-06-14,5058009.632
2024-06-17,5052619.62
2024-06-18,5114028.48
2024-06-19,5114028.48
2024-06-20,5126835.228
2024-06-21,5093235.228
2024-06-24,5037843.492
2024-06-25,5037843.492
2024-06-26,5037843.492
2024-06-27,5037843.492
2024-06-28,5037843.492
2024-07-01,5037843.492
2024-07-02,5037843.492
2024-07-03,5066651.332
2024-07-04,5154451.332
