,equity
2024-01-02,5000000.0
2024-01-03,5000037.265
2024-01-04,5000037.265
2024-01-05,5006787.265
2024-01-08,4993574.41
2024-01-09,4993574.41
2024-01-10,5008111.825
2024-01-11,4975398.885
2024-01-12,4948473.965
2024-01-15,4948473.965
2024-01-16,4948473.965
2024-01-17,4948473.965
2024-01-18,4948473.965
2024-01-19,4949760.605
2024-01-22,4984510.605
2024-01-23,4997760.605
2024-01-24,5006010.605
2024-01-25,5029010.605
2024-01-26,5030010.605
2024-01-29,5061510.605
2024-01-30,5050510.605
2024-01-31,5041545.375
2024-02-01,5041545.375
2024-02-02,5037079.87
2024-02-05,5037579.87
2024-02-15,5182829.87
2024-02-16,5174579.87
2024-02-19,5183829.87
2024-02-20,5202361.14
2024-02-21,5202361.14
2024-02-22,5202361.14
2024-02-23,5199891.53
2024-02-26,5212391.53
2024-02-27,5179422.37
2024-02-29,5179422.37
2024-03-01,5178952.56
2024-03-04,5267202.56
2024-03-05,5285952.56
2024-03-06,5315952.56
2024-03-07,5365952.56
2024-03-08,5386452.56
2024-03-11,5373228.865
2024-03-12,5399754.625
2024-03-13,5392754.625
2024-03-14,5395754.625
2024-03-15,5380030.24
2024-03-18,5380030.24
2024-03-19,5357581.16
2024-03-20,5357581.16
2024-03-21,5378355.26
2024-03-22,5372855.26
2024-03-25,5370105.26
2024-03-26,5358879.325
2024-03-27,5358879.325
2024-03-28,5358879.325
2024-03-29,5359902.95
2024-04-01,5361902.95
2024-04-02,5420652.95
2024-04-03,5379176.16
2024-04-08,5362698.585
2024-04-09,5468698.585
2024-04-10,5462948.585
2024-04-11,5438448.585
2024-04-12,5424720.09
2024-04-15,5424720.09
2024-04-16,5430020.685
2024-04-17,5430020.685
2024-04-18,5430020.685
2024-04-19,5427548.0
2024-04-22,5433048.0
2024-04-23,5394798.0
2024-04-24,5374574.215
2024-04-25,5374574.215
2024-04-26,5374574.215
2024-04-29,5374574.215
2024-04-30,5374574.215
2024-05-02,5374574.215
2024-05-03,5358619.645
2024-05-06,5347891.425
2024-05-07,5359891.425
2024-05-08,5378641.425
2024-05-09,5350391.425
2024-05-10,5360934.66
2024-05-13,5379434.66
2024-05-14,5407954.67
2024-05-15,5407954.67
2024-05-16,5361721.9
2024-05-17,5353221.9
2024-05-20,5331240.655
2024-05-21,5331240.655
2024-05-22,5343254.567
2024-05-23,5347454.567
2024-05-24,5307068.955
2024-05-27,5307481.467
2024-05-28,5323281.467
2024-05-29,5282694.459
2024-05-30,5282694.459
2024-05-31,5282694.459
2024-06-03,5205322.631
2024-06-04,5205322.631
2024-06-05,5169752.007
2024-06-06,5169752.007
2024-06-07,5169752.007
2024-06-11,5169752.007
2024-06-12,5178564.003
2024-06-13,5233964.003
2024-06-14,5271564.003
2024-06-17,5264764.003
2024-06-18,5326572.855
2024-06-19,5326572.855
2024-06-20,5339779.611
2024-06-21,5306179.611
2024-06-24,5251187.867
2024-06-25,5251187.867
2024-06-26,5230595.971
2024-06-27,5208404.923
2024-06-28,5208404.923
2024-07-01,5208404.923
2024-07-02,5208404.923
2024-07-03,5237612.771
2024-07-04,5325412.771
2024-07-05,5314612.771
2024-07-08,5383212.771
2024-07-09,5376212.771
2024-07-10,5400612.771
2024-07-11,5474012.771
2024-07-12,5388817.003
2024-07-15,5388817.003
2024-07-16,5388817.003
2024-07-17,5388817.003
2024-07-18,5388817.003
2024-07-19,5388025.379
2024-07-22,5494025.379
2024-07-23,5403825.379
2024-07-26,5387445.863
2024-07-29,5354245.863
2024-07-30,5357245.863
2024-07-31,5348656.711
2024-08-01,5348656.711
2024-08-02,5478667.975
2024-08-05,5910467.975
2024-08-06,5701267.975
2024-08-07,5544683.166999999
2024-08-08,5544683.166999999
2024-08-09,5544683.166999999
2024-08-12,5544683.166999999
2024-08-13,5544683.166999999
2024-08-14,5544683.166999999
2024-08-15,5544683.166999999
2024-08-16,5544683.166999999
2024-08-19,5544683.166999999
2024-08-20,5521303.283
2024-08-21,5521303.283
2024-08-22,5521303.283
2024-08-23,5521303.283
2024-08-26,5521303.283
2024-08-27,5521303.283
2024-08-28,5521303.283
2024-08-29,5521303.283
2024-08-30,5521303.283
2024-09-02,5521303.283
2024-09-03,5521303.283
2024-09-04,5737319.223
2024-09-05,5678319.223
2024-09-06,5644319.223
2024-09-09,5705819.223
2024-09-10,5649087.728
2024-09-11,5573377.693
2024-09-12,5573377.693
2024-09-13,5573377.693
2024-09-16,5573377.693
2024-09-18,5573377.693
2024-09-19,5589892.658
2024-09-20,5626392.658
2024-09-23,5655892.658
2024-09-24,5694142.658
2024-09-25,5769392.658
2024-09-26,5810642.658
2024-09-27,5792392.658
2024-09-30,5761403.853
2024-10-01,5761403.853
2024-10-04,5761403.853
2024-10-07,5761403.853
2024-10-08,5761403.853
2024-10-09,5761403.853
2024-10-11,5761403.853
2024-10-14,5748211.561
2024-10-15,5796018.569
2024-10-16,5796018.569
2024-10-17,5796018.569
2024-10-18,5814824.3209999995
2024-10-21,5796824.3209999995
2024-10-22,5782030.345
2024-10-23,5782030.345
2024-10-24,5782030.345
2024-10-25,5782030.345
2024-10-28,5729642.833
2024-10-29,5676654.007999999
2024-10-30,5694654.007999999
2024-11-01,5732404.007999999
2024-11-04,5686914.3379999995
2024-11-05,5686914.3379999995
2024-11-06,5686914.3379999995
2024-11-07,5686914.3379999995
2024-11-08,5720119.882
2024-11-11,5648326.1899999995
2024-11-12,5648326.1899999995
2024-11-13,5630135.418
2024-11-14,5649935.418
2024-11-15,5634935.418
2024-11-18,5628953.686
2024-11-19,5592162.658
2024-11-20,5592162.658
2024-11-21,5592162.658
2024-11-22,5523781.393999999
2024-11-25,5523781.393999999
2024-11-26,5523781.393999999
2024-11-27,5565391.17
2024-11-28,5567391.17
2024-11-29,5572191.17
2024-12-02,5532201.1219999995
2024-12-03,5532201.1219999995
2024-12-04,5532201.1219999995
2024-12-05,5527008.017999999
2024-12-06,5512608.017999999
2024-12-09,5518415.182
2024-12-10,5479828.602
2024-12-11,5479828.602
2024-12-12,5479828.602
2024-12-13,5479828.602
2024-12-16,5479828.602
2024-12-17,5479828.602
2024-12-18,5479828.602
2024-12-19,5459037.618
2024-12-20,5501837.618
2024-12-23,5394644.938
2024-12-24,5394644.938
2024-12-25,5394644.938
2024-12-26,5384051.426
2024-12-27,5366058.478
2024-12-30,5329472.137999999
2024-12-31,5329472.137999999
2025-01-02,5340880.538
2025-01-03,5302488.4059999995
2025-01-06,5326694.458
2025-01-07,5355294.458
2025-01-08,5295500.642
2025-01-09,5295500.642
2025-01-10,5291908.5139999995
2025-01-13,5394708.5139999995
2025-01-14,5351517.5139999995
2025-01-15,5351517.5139999995
2025-01-16,5351517.5139999995
2025-01-17,5351517.5139999995
2025-01-20,5351517.5139999995
2025-01-21,5351517.5139999995
2025-01-22,5351517.5139999995
2025-02-03,5119732.198
2025-02-04,5119732.198
2025-02-05,5119732.198
2025-02-06,5119732.198
2025-02-07,5119732.198
2025-02-10,5085145.426
2025-02-11,5085145.426
2025-02-12,5085145.426
2025-02-13,5085145.426
2025-02-14,5076552.878
2025-02-17,5023959.114
2025-02-18,5034970.118
2025-02-19,5034970.118
2025-02-20,5034970.118
2025-02-21,5043375.31
2025-02-24,4996781.257999999
2025-02-25,4996781.257999999
2025-02-26,4939188.722
2025-02-27,4935594.97
2025-03-03,4986203.0819999995
2025-03-04,5012203.0819999995
2025-03-05,4963411.757999999
2025-03-06,4963411.757999999
2025-03-07,4982821.285999999
2025-03-10,4997621.285999999
2025-03-11,5080621.285999999
2025-03-12,5031232.177999999
2025-03-13,5049044.137999999
2025-03-14,5040844.137999999
2025-03-17,5006655.614
2025-03-18,5006655.614
2025-03-19,5006655.614
2025-03-20,5006655.614
2025-03-21,5006655.614
2025-03-24,4971277.89
2025-03-25,4971277.89
2025-03-26,4971277.89
2025-03-27,4995289.534
2025-03-28,5068289.534
2025-03-31,5235089.534
2025-04-01,5152689.534
2025-04-02,5124704.254
2025-04-07,5124233.424
2025-04-08,5368483.424
2025-04-09,5614983.424
2025-04-10,5190013.909
2025-04-11,5190013.909
2025-04-14,5190013.909
2025-04-15,5190013.909
2025-04-16,5190013.909
2025-04-17,5190013.909
2025-04-18,5190013.909
2025-04-21,5190013.909
2025-04-22,5188044.959
2025-04-23,5023849.929
2025-04-24,5001849.929
2025-04-25,5103599.929
2025-04-28,5126599.929
2025-04-29,5173849.929
2025-04-30,5172599.929
2025-05-02,5156793.288
2025-05-05,5102193.288
2025-05-06,5076812.176
2025-05-07,5076812.176
2025-05-08,5076812.176
2025-05-09,5093029.112
2025-05-12,5136629.112
2025-05-13,5195429.112
2025-05-14,5277029.112
2025-05-15,5262229.112
2025-05-16,5287629.112
2025-05-19,5262442.328
2025-05-20,5262442.328
2025-05-21,5262442.328
2025-05-22,5262442.328
2025-05-23,5262442.328
2025-05-26,5262442.328
2025-05-27,5262442.328
2025-05-28,5262442.328
2025-05-29,5262442.328
2025-06-02,5317657.756
2025-06-03,5296657.756
2025-06-04,5263687.291999999
2025-06-05,5277887.291999999
2025-06-06,5282887.291999999
2025-06-09,5312687.291999999
2025-06-10,5389887.291999999
2025-06-11,5437487.291999999
2025-06-12,5417687.291999999
2025-06-13,5394498.744
2025-06-16,5394498.744
2025-06-17,5376921.223999999
2025-06-18,5376921.223999999
2025-06-19,5376921.223999999
2025-06-20,5376921.223999999
2025-06-23,5376921.223999999
2025-06-24,5376921.223999999
2025-06-25,5406333.18
2025-06-26,5397933.18
2025-06-27,5379145.084
2025-06-30,5379145.084
2025-07-01,5333754.767999999
2025-07-02,5342354.767999999
2025-07-03,5398154.767999999
2025-07-04,5356564.896
2025-07-07,5356564.896
2025-07-08,5356564.896
2025-07-09,5356564.896
2025-07-10,5381774.96
2025-07-11,5412374.96
2025-07-14,5373984.668
2025-07-15,5389002.328
2025-07-16,5389002.328
2025-07-17,5389002.328
2025-07-18,5375609.016
2025-07-21,5368809.016
2025-07-22,5336416.748
2025-07-23,5336416.748
2025-07-24,5340823.6
2025-07-25,5326423.6
2025-07-28,5357223.6
2025-07-29,5335030.472
2025-07-30,5324636.824
2025-07-31,5321849.568
2025-08-01,5272456.1959999995
2025-08-04,5227664.0479999995
2025-08-05,5247877.12
2025-08-06,5217877.12
2025-08-07,5297089.768
2025-08-08,5287489.768
2025-08-11,5330089.768
2025-08-12,5324689.768
2025-08-13,5367089.768
2025-08-14,5347689.768
2025-08-15,5334495.312
2025-08-18,5328300.3719999995
2025-08-19,5313902.952
2025-08-20,5313902.952
2025-08-21,5313902.952
2025-08-22,5313902.952
2025-08-25,5313902.952
2025-08-26,5313902.952
2025-08-27,5308304.992
2025-08-28,5261304.992
2025-08-29,5268907.924
2025-09-01,5268907.924
2025-09-02,5268907.924
2025-09-03,5243912.432
2025-09-04,5222916.028
2025-09-05,5222916.028
2025-09-08,5232318.016
2025-09-09,5282518.016
2025-09-10,5357718.016
2025-09-11,5370118.016
2025-09-12,5413918.016
2025-09-15,5392718.016
2025-09-16,5388911.9399999995
2025-09-17,5388911.9399999995
2025-09-18,5390509.14
2025-09-19,5382909.14
2025-09-22,5426909.14
2025-09-23,5503309.14
2025-09-24,5496109.14
2025-09-25,5468109.14
2025-09-26,5461304.884
2025-09-30,5461304.884
2025-10-01,5455300.5879999995
2025-10-02,5532500.5879999995
2025-10-03,5595300.5879999995
2025-10-07,5710700.5879999995
2025-10-08,5664900.5879999995
2025-10-09,5713300.5879999995
2025-10-13,5668692.136
2025-10-14,5583075.688
